WINDOW: btc-updown-5m-1778793900 | btc-updown-5m-1778793900
====================================================================================================
window_et: 5:25-5:30 PM ET
window_local: 00:25-00:30 Europe/Kyiv
window_start_iso: 2026-05-14T21:25:00+00:00
window_end_iso:   2026-05-14T21:30:00+00:00
first_ts: 2026-05-14T21:25:15+00:00
last_ts:  2026-05-14T21:28:34+00:00
first_sec_from_start: 15
last_sec_from_start:  214
events:   277
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   277
buy:      277
sell:     0
merge:    0
total_usd: 2444.228327
total_size: 4940.069385
spent_buy_usd: 2444.228327
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2444.228327
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2508.118317
buy_down_shares: 2431.951068
paired_shares: 2431.951068
unpaired_up_shares: 76.167249
unpaired_down_shares: 0.0
avg_up_buy_price: 0.711814
avg_down_buy_price: 0.27094
pair_cost_per_share: 0.982755

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2390.011385
paired_redeem_value_usd: 2431.951068
theoretical_pair_pnl_usd: 41.939683
theoretical_pair_roi_pct: 1.7548
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.017245
merge_coverage_pct: 0.0
realization_gap_usd: 2486.16801
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 4940.069385
closed_total_pnl_usd: 64.068387
closed_total_settlement_usd: 5004.137772
closed_roi_pct: 1.2969
first_closed_ts: 2026-05-14T21:30:58+00:00
execution_delay_sec: 58

LATEST CLOSED (UP TO 20)
2026-05-14T21:30:58+00:00 | outcome=Up | size=0.0 | bought=2508.118317 | settlement=3230.973064 | pnl=722.854747
2026-05-14T21:30:58+00:00 | outcome=Down | size=0.0 | bought=2431.951068 | settlement=1773.164708 | pnl=-658.78636


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 69
2026-05-14T21:25:15+00:00 | sec=15  | BUY    | Down       | price=0.39       | size=10.94      | usd=4.2666    
2026-05-14T21:25:15+00:00 | sec=15  | BUY    | Down       | price=0.39000001198800266 | size=31.698358  | usd=12.36236  
2026-05-14T21:25:15+00:00 | sec=15  | BUY    | Down       | price=0.39000005033454105 | size=7.350817   | usd=2.866819  
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=4.98       | usd=1.9422    
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.3900000321703902 | size=8.081966   | usd=3.151967  
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.3900000023238096 | size=34.426228  | usd=13.426229 
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=2.5        | usd=0.975     
2026-05-14T21:25:25+00:00 | sec=25  | BUY    | Down       | price=0.39       | size=20.0       | usd=7.8       
2026-05-14T21:25:25+00:00 | sec=25  | BUY    | Down       | price=0.39000001976056553 | size=11.639343  | usd=4.539344  
2026-05-14T21:25:25+00:00 | sec=25  | BUY    | Down       | price=0.39       | size=11.89      | usd=4.6371    
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=10.0       | usd=3.0       
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=2.7        | usd=0.81      
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=1.42857    | usd=0.428571  
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.32       | size=50.0       | usd=16.0      
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=5.0        | usd=1.5       
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.31       | size=20.0       | usd=6.2       
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=1.45714    | usd=0.437142  
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=13.69      | usd=4.107     
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=5.0        | usd=1.5       
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.29000002982001066 | size=7.042251   | usd=2.042253  
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=5.0        | usd=1.5       
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.29       | size=20.0       | usd=5.8       
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.290000402105501 | size=0.522251   | usd=0.151453  
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.30000002333334036 | size=4.285713   | usd=1.285714  
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=1.42857    | usd=0.428571  
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.31       | size=10.05      | usd=3.1155    
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.31       | size=19.95      | usd=6.1845    
2026-05-14T21:25:29+00:00 | sec=29  | BUY    | Down       | price=0.29000005680010904 | size=1.408448   | usd=0.40845   
2026-05-14T21:25:29+00:00 | sec=29  | BUY    | Up         | price=0.62       | size=5.89       | usd=3.6518    
2026-05-14T21:25:29+00:00 | sec=29  | BUY    | Up         | price=0.62       | size=44.11      | usd=27.3482   
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.520000025028971 | size=14.383332  | usd=7.479333  
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.5300000088772305 | size=20.276594  | usd=10.746595 
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=5.0        | usd=2.7       
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.53       | size=20.0       | usd=10.6      
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=5.0        | usd=2.7       
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.52       | size=2.5        | usd=1.3       
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=40.0       | usd=21.6      
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.53       | size=9.72       | usd=5.1516    
2026-05-14T21:25:32+00:00 | sec=32  | BUY    | Up         | price=0.52       | size=9.0        | usd=4.68      
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.52       | size=24.11      | usd=12.5372   
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.51       | size=9.37       | usd=4.7787    
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.5100000168965584 | size=4.734692   | usd=2.414693  
