WINDOW: btc-updown-5m-1778795700 | btc-updown-5m-1778795700
====================================================================================================
window_et: 5:55-6:00 PM ET
window_local: 00:55-01:00 Europe/Kyiv
window_start_iso: 2026-05-14T21:55:00+00:00
window_end_iso:   2026-05-14T22:00:00+00:00
first_ts: 2026-05-14T21:55:14+00:00
last_ts:  2026-05-14T21:58:47+00:00
first_sec_from_start: 14
last_sec_from_start:  227
events:   298
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   298
buy:      298
sell:     0
merge:    0
total_usd: 2962.410284
total_size: 6100.131225
spent_buy_usd: 2962.410284
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2962.410284
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2959.867744
buy_down_shares: 3140.263481
paired_shares: 2959.867744
unpaired_up_shares: 0.0
unpaired_down_shares: 180.395737
avg_up_buy_price: 0.124508
avg_down_buy_price: 0.826008
pair_cost_per_share: 0.950516

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2813.402029
paired_redeem_value_usd: 2959.867744
theoretical_pair_pnl_usd: 146.465715
theoretical_pair_roi_pct: 5.206
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.049484
merge_coverage_pct: 0.0
realization_gap_usd: 3108.875999
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 6100.131225
closed_total_pnl_usd: 178.06781
closed_total_settlement_usd: 6278.199035
closed_roi_pct: 2.9191
first_closed_ts: 2026-05-14T22:00:56+00:00
execution_delay_sec: 56

LATEST CLOSED (UP TO 20)
2026-05-14T22:00:56+00:00 | outcome=Up | size=0.0 | bought=2959.867744 | settlement=2591.482605 | pnl=-368.385139
2026-05-14T22:00:56+00:00 | outcome=Down | size=0.0 | bought=3140.263481 | settlement=3686.71643 | pnl=546.452949


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 122
2026-05-14T21:55:14+00:00 | sec=14  | BUY    | Down       | price=0.77       | size=17.45      | usd=13.4365   
2026-05-14T21:55:14+00:00 | sec=14  | BUY    | Down       | price=0.77       | size=19.55      | usd=15.0535   
2026-05-14T21:55:14+00:00 | sec=14  | BUY    | Down       | price=0.77       | size=13.0       | usd=10.01     
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.77       | size=50.0       | usd=38.5      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.76       | size=2.42       | usd=1.8392    
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.76       | size=50.0       | usd=38.0      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.75       | size=50.0       | usd=37.5      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.72       | size=50.0       | usd=36.0      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.7        | size=50.0       | usd=35.0      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.77       | size=50.0       | usd=38.5      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.69       | size=50.0       | usd=34.5      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.73       | size=50.0       | usd=36.5      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.74       | size=50.0       | usd=37.0      
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.76       | size=47.58      | usd=36.1608   
2026-05-14T21:55:16+00:00 | sec=16  | BUY    | Down       | price=0.71       | size=50.0       | usd=35.5      
2026-05-14T21:55:17+00:00 | sec=17  | BUY    | Down       | price=0.75       | size=20.0       | usd=15.0      
2026-05-14T21:55:17+00:00 | sec=17  | BUY    | Down       | price=0.75       | size=1.34       | usd=1.005     
2026-05-14T21:55:17+00:00 | sec=17  | BUY    | Down       | price=0.75       | size=20.0       | usd=15.0      
2026-05-14T21:55:19+00:00 | sec=19  | BUY    | Down       | price=0.7700003852503179 | size=1.739129   | usd=1.33913   
2026-05-14T21:55:19+00:00 | sec=19  | BUY    | Down       | price=0.77       | size=2.5        | usd=1.925     
2026-05-14T21:55:19+00:00 | sec=19  | BUY    | Down       | price=0.7700000815171535 | size=8.219129   | usd=6.32873   
2026-05-14T21:55:21+00:00 | sec=21  | BUY    | Down       | price=0.7700000842166353 | size=6.768259   | usd=5.21156   
2026-05-14T21:55:21+00:00 | sec=21  | BUY    | Down       | price=0.77       | size=37.54      | usd=28.9058   
2026-05-14T21:55:21+00:00 | sec=21  | BUY    | Down       | price=0.770000030820002 | size=21.739129  | usd=16.73913  
2026-05-14T21:55:21+00:00 | sec=21  | BUY    | Down       | price=0.77       | size=21.49      | usd=16.5473   
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Up         | price=0.25       | size=31.17      | usd=7.7925    
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.76       | size=50.0       | usd=38.0      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.7400000460571479 | size=13.461537  | usd=9.961538  
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Up         | price=0.24       | size=5.0        | usd=1.2       
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.76       | size=50.0       | usd=38.0      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.74       | size=39.99      | usd=29.5926   
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.72       | size=50.0       | usd=36.0      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Up         | price=0.24       | size=10.0       | usd=2.4       
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Up         | price=0.22       | size=22.10205   | usd=4.862451  
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.73       | size=50.0       | usd=36.5      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.71       | size=50.0       | usd=35.5      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.75       | size=50.0       | usd=37.5      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Up         | price=0.23       | size=50.0       | usd=11.5      
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.75       | size=8.66       | usd=6.495     
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Up         | price=0.25       | size=6.34       | usd=1.585     
2026-05-14T21:55:23+00:00 | sec=23  | BUY    | Down       | price=0.7400000679608002 | size=10.005768  | usd=7.404269  
2026-05-14T21:55:24+00:00 | sec=24  | BUY    | Up         | price=0.24       | size=10.0       | usd=2.4       
