WINDOW: btc-updown-5m-1778796300 | btc-updown-5m-1778796300
====================================================================================================
window_et: 6:05-6:10 PM ET
window_local: 01:05-01:10 Europe/Kyiv
window_start_iso: 2026-05-14T22:05:00+00:00
window_end_iso:   2026-05-14T22:10:00+00:00
first_ts: 2026-05-14T22:05:11+00:00
last_ts:  2026-05-14T22:09:35+00:00
first_sec_from_start: 11
last_sec_from_start:  275
events:   330
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   330
buy:      330
sell:     0
merge:    0
total_usd: 2446.604366
total_size: 5032.125509
spent_buy_usd: 2446.604366
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2446.604366
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2518.262065
buy_down_shares: 2513.863444
paired_shares: 2513.863444
unpaired_up_shares: 4.398621
unpaired_down_shares: 0.0
avg_up_buy_price: 0.753855
avg_down_buy_price: 0.21807
pair_cost_per_share: 0.971926

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2443.288442
paired_redeem_value_usd: 2513.863444
theoretical_pair_pnl_usd: 70.575002
theoretical_pair_roi_pct: 2.8885
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.028074
merge_coverage_pct: 0.0
realization_gap_usd: 2517.179368
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 5032.125509
closed_total_pnl_usd: 71.850648
closed_total_settlement_usd: 5103.976157
closed_roi_pct: 1.4278
first_closed_ts: 2026-05-14T22:10:51+00:00
execution_delay_sec: 51

LATEST CLOSED (UP TO 20)
2026-05-14T22:10:51+00:00 | outcome=Up | size=0.0 | bought=2518.262065 | settlement=3138.222929 | pnl=619.960864
2026-05-14T22:10:51+00:00 | outcome=Down | size=0.0 | bought=2513.863444 | settlement=1965.753228 | pnl=-548.110216


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 81
2026-05-14T22:05:11+00:00 | sec=11  | BUY    | Up         | price=0.6        | size=4.925      | usd=2.955     
2026-05-14T22:05:11+00:00 | sec=11  | BUY    | Up         | price=0.6        | size=37.05      | usd=22.23     
2026-05-14T22:05:11+00:00 | sec=11  | BUY    | Up         | price=0.6        | size=8.02       | usd=4.812     
2026-05-14T22:05:18+00:00 | sec=18  | BUY    | Down       | price=0.31       | size=18.84      | usd=5.8404    
2026-05-14T22:05:18+00:00 | sec=18  | BUY    | Down       | price=0.3100000414000389 | size=1.449274   | usd=0.449275  
2026-05-14T22:05:18+00:00 | sec=18  | BUY    | Down       | price=0.31       | size=29.71      | usd=9.2101    
2026-05-14T22:05:19+00:00 | sec=19  | BUY    | Up         | price=0.72       | size=6.78       | usd=4.8816    
2026-05-14T22:05:19+00:00 | sec=19  | BUY    | Down       | price=0.3        | size=30.0       | usd=9.0       
2026-05-14T22:05:19+00:00 | sec=19  | BUY    | Down       | price=0.3        | size=20.0       | usd=6.0       
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.64       | size=6.9        | usd=4.416     
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.63       | size=20.85      | usd=13.1355   
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.61       | size=5.0        | usd=3.05      
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.64       | size=20.0       | usd=12.8      
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.62       | size=9.85       | usd=6.107     
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.64       | size=23.1       | usd=14.784    
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.62       | size=26.0       | usd=16.12     
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.61       | size=10.15      | usd=6.1915    
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.63       | size=29.15      | usd=18.3645   
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.62       | size=10.0       | usd=6.2       
2026-05-14T22:05:23+00:00 | sec=23  | BUY    | Up         | price=0.62       | size=4.15       | usd=2.573     
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.29       | size=5.0        | usd=1.45      
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.29000003419266196 | size=4.971827   | usd=1.44183   
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.29       | size=2.5        | usd=0.725     
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.2900000093114768 | size=8.591548   | usd=2.491549  
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.2900000359733411 | size=5.281689   | usd=1.53169   
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.2900000497000131 | size=4.225351   | usd=1.225352  
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.29       | size=6.0        | usd=1.74      
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.29000005680010904 | size=1.408448   | usd=0.40845   
2026-05-14T22:05:25+00:00 | sec=25  | BUY    | Down       | price=0.29       | size=11.72      | usd=3.3988    
2026-05-14T22:05:26+00:00 | sec=26  | BUY    | Down       | price=0.28       | size=50.0       | usd=14.0      
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.7        | size=5.0        | usd=3.5       
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.78       | size=20.0       | usd=15.6      
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.71       | size=45.85      | usd=32.5535   
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.78       | size=20.0       | usd=15.6      
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.71       | size=4.15       | usd=2.9465    
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.69       | size=8.62       | usd=5.9478    
2026-05-14T22:05:33+00:00 | sec=33  | BUY    | Up         | price=0.7        | size=10.4       | usd=7.28      
