WINDOW: btc-updown-5m-1778796600 | btc-updown-5m-1778796600
====================================================================================================
window_et: 6:10-6:15 PM ET
window_local: 01:10-01:15 Europe/Kyiv
window_start_iso: 2026-05-14T22:10:00+00:00
window_end_iso:   2026-05-14T22:15:00+00:00
first_ts: 2026-05-14T22:10:08+00:00
last_ts:  2026-05-14T22:14:15+00:00
first_sec_from_start: 8
last_sec_from_start:  255
events:   306
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   306
buy:      306
sell:     0
merge:    0
total_usd: 2648.815369
total_size: 5149.086636
spent_buy_usd: 2648.815369
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2648.815369
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2508.51766
buy_down_shares: 2640.568976
paired_shares: 2508.51766
unpaired_up_shares: 0.0
unpaired_down_shares: 132.051316
avg_up_buy_price: 0.652114
avg_down_buy_price: 0.38362
pair_cost_per_share: 1.035734

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2598.157854
paired_redeem_value_usd: 2508.51766
theoretical_pair_pnl_usd: -89.640194
theoretical_pair_roi_pct: -3.4501
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.035734
merge_coverage_pct: 0.0
realization_gap_usd: 2559.175175
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 60
2026-05-14T22:10:08+00:00 | sec=8   | BUY    | Up         | price=0.4800000451291158 | size=3.545383   | usd=1.701784  
2026-05-14T22:10:10+00:00 | sec=10  | BUY    | Up         | price=0.48000008103900105 | size=2.961537   | usd=1.421538  
2026-05-14T22:10:15+00:00 | sec=15  | BUY    | Up         | price=0.42       | size=5.0        | usd=2.1       
2026-05-14T22:10:15+00:00 | sec=15  | BUY    | Up         | price=0.43       | size=50.0       | usd=21.5      
2026-05-14T22:10:15+00:00 | sec=15  | BUY    | Up         | price=0.42000000603200016 | size=43.103447  | usd=18.103448 
2026-05-14T22:10:19+00:00 | sec=19  | BUY    | Down       | price=0.57       | size=50.0       | usd=28.5      
2026-05-14T22:10:20+00:00 | sec=20  | BUY    | Down       | price=0.5800000965859469 | size=2.691903   | usd=1.561304  
2026-05-14T22:10:20+00:00 | sec=20  | BUY    | Down       | price=0.5800001764001023 | size=2.380951   | usd=1.380952  
2026-05-14T22:10:22+00:00 | sec=22  | BUY    | Down       | price=0.5700000427322737 | size=11.466743  | usd=6.536044  
2026-05-14T22:10:22+00:00 | sec=22  | BUY    | Down       | price=0.57       | size=10.0       | usd=5.7       
2026-05-14T22:10:22+00:00 | sec=22  | BUY    | Down       | price=0.5800000818772699 | size=6.595237   | usd=3.825238  
2026-05-14T22:10:24+00:00 | sec=24  | BUY    | Down       | price=0.570000049450019 | size=4.651161   | usd=2.651162  
2026-05-14T22:10:24+00:00 | sec=24  | BUY    | Down       | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-14T22:10:24+00:00 | sec=24  | BUY    | Down       | price=0.57       | size=19.21      | usd=10.9497   
2026-05-14T22:10:24+00:00 | sec=24  | BUY    | Down       | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-14T22:10:26+00:00 | sec=26  | BUY    | Down       | price=0.5700000167449867 | size=8.957905   | usd=5.106006  
