WINDOW: btc-updown-5m-1778796900 | btc-updown-5m-1778796900
====================================================================================================
window_et: 6:15-6:20 PM ET
window_local: 01:15-01:20 Europe/Kyiv
window_start_iso: 2026-05-14T22:15:00+00:00
window_end_iso:   2026-05-14T22:20:00+00:00
first_ts: 2026-05-14T22:15:09+00:00
last_ts:  2026-05-14T22:18:32+00:00
first_sec_from_start: 9
last_sec_from_start:  212
events:   194
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   194
buy:      194
sell:     0
merge:    0
total_usd: 1570.818118
total_size: 3357.788807
spent_buy_usd: 1570.818118
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -1570.818118
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 1615.447942
buy_down_shares: 1742.340865
paired_shares: 1615.447942
unpaired_up_shares: 0.0
unpaired_down_shares: 126.892923
avg_up_buy_price: 0.134502
avg_down_buy_price: 0.77685
pair_cost_per_share: 0.911352

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 1472.241352
paired_redeem_value_usd: 1615.447942
theoretical_pair_pnl_usd: 143.20659
theoretical_pair_roi_pct: 9.7271
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.088648
merge_coverage_pct: 0.0
realization_gap_usd: 1714.024708
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 3357.788807
closed_total_pnl_usd: 171.593753
closed_total_settlement_usd: 3529.38256
closed_roi_pct: 5.1103
first_closed_ts: 2026-05-14T22:20:53+00:00
execution_delay_sec: 53

LATEST CLOSED (UP TO 20)
2026-05-14T22:20:53+00:00 | outcome=Down | size=0.0 | bought=1742.340865 | settlement=2131.170364 | pnl=388.829499
2026-05-14T22:20:53+00:00 | outcome=Up | size=0.0 | bought=1615.447942 | settlement=1398.212196 | pnl=-217.235746


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 79
2026-05-14T22:15:09+00:00 | sec=9   | BUY    | Down       | price=0.51       | size=28.28      | usd=14.4228   
2026-05-14T22:15:11+00:00 | sec=11  | BUY    | Down       | price=0.5100000465500188 | size=4.081631   | usd=2.081632  
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.56       | size=13.87      | usd=7.7672    
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.51       | size=17.63      | usd=8.9913    
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.56       | size=2.09       | usd=1.1704    
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.5        | size=50.0       | usd=25.0      
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.56       | size=9.0        | usd=5.04      
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.560000072046814 | size=3.886362   | usd=2.176363  
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.53       | size=50.0       | usd=26.5      
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.54       | size=50.0       | usd=27.0      
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.55       | size=50.0       | usd=27.5      
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.56       | size=5.0        | usd=2.8       
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.52       | size=50.0       | usd=26.0      
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.56       | size=2.5        | usd=1.4       
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.5600001936001084 | size=2.272726   | usd=1.272727  
2026-05-14T22:15:13+00:00 | sec=13  | BUY    | Down       | price=0.5600000352000042 | size=11.363635  | usd=6.363636  
2026-05-14T22:15:18+00:00 | sec=18  | BUY    | Up         | price=0.48       | size=50.0       | usd=24.0      
2026-05-14T22:15:21+00:00 | sec=21  | BUY    | Up         | price=0.3        | size=10.0       | usd=3.0       
2026-05-14T22:15:21+00:00 | sec=21  | BUY    | Up         | price=0.3        | size=1.45714    | usd=0.437142  
2026-05-14T22:15:21+00:00 | sec=21  | BUY    | Up         | price=0.3        | size=5.0        | usd=1.5       
2026-05-14T22:15:21+00:00 | sec=21  | BUY    | Up         | price=0.3000000107692323 | size=18.571426  | usd=5.571428  
