WINDOW: btc-updown-5m-1778798400 | btc-updown-5m-1778798400
====================================================================================================
window_et: 6:40-6:45 PM ET
window_local: 01:40-01:45 Europe/Kyiv
window_start_iso: 2026-05-14T22:40:00+00:00
window_end_iso:   2026-05-14T22:45:00+00:00
first_ts: 2026-05-14T22:40:09+00:00
last_ts:  2026-05-14T22:44:58+00:00
first_sec_from_start: 9
last_sec_from_start:  298
events:   347
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   347
buy:      347
sell:     0
merge:    0
total_usd: 2618.164522
total_size: 5413.908624
spent_buy_usd: 2618.164522
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2618.164522
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2724.971654
buy_down_shares: 2688.93697
paired_shares: 2688.93697
unpaired_up_shares: 36.034684
unpaired_down_shares: 0.0
avg_up_buy_price: 0.620759
avg_down_buy_price: 0.344603
pair_cost_per_share: 0.965361

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2595.795675
paired_redeem_value_usd: 2688.93697
theoretical_pair_pnl_usd: 93.141295
theoretical_pair_roi_pct: 3.5882
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.034639
merge_coverage_pct: 0.0
realization_gap_usd: 2711.305817
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 5413.908624
closed_total_pnl_usd: 107.032504
closed_total_settlement_usd: 5520.941128
closed_roi_pct: 1.977
first_closed_ts: 2026-05-14T22:46:23+00:00
execution_delay_sec: 83

LATEST CLOSED (UP TO 20)
2026-05-14T22:46:23+00:00 | outcome=Down | size=0.0 | bought=2688.93697 | settlement=1762.442226 | pnl=-926.494744
2026-05-14T22:46:23+00:00 | outcome=Up | size=0.0 | bought=2724.971654 | settlement=3758.498902 | pnl=1033.527248


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 60
2026-05-14T22:40:09+00:00 | sec=9   | BUY    | Down       | price=0.59       | size=12.35      | usd=7.2865    
2026-05-14T22:40:14+00:00 | sec=14  | BUY    | Up         | price=0.5100000170223403 | size=4.112243   | usd=2.097244  
2026-05-14T22:40:14+00:00 | sec=14  | BUY    | Up         | price=0.5100001715001115 | size=2.040815   | usd=1.040816  
2026-05-14T22:40:14+00:00 | sec=14  | BUY    | Up         | price=0.5100000180267612 | size=6.102039   | usd=3.11204   
2026-05-14T22:40:14+00:00 | sec=14  | BUY    | Up         | price=0.51       | size=20.4       | usd=10.404    
2026-05-14T22:40:16+00:00 | sec=16  | BUY    | Up         | price=0.5100000608276206 | size=2.959182   | usd=1.509183  
2026-05-14T22:40:16+00:00 | sec=16  | BUY    | Up         | price=0.510000021692713 | size=7.836733   | usd=3.996734  
2026-05-14T22:40:18+00:00 | sec=18  | BUY    | Up         | price=0.51       | size=6.52       | usd=3.3252    
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.44       | size=5.0        | usd=2.2       
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.43       | size=7.83       | usd=3.3669    
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.41       | size=5.18       | usd=2.1238    
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.44       | size=34.82      | usd=15.3208   
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Up         | price=0.51       | size=50.0       | usd=25.5      
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.43       | size=30.0       | usd=12.9      
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.41       | size=0.09       | usd=0.0369    
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.44       | size=10.18      | usd=4.4792    
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.42       | size=5.0        | usd=2.1       
2026-05-14T22:40:26+00:00 | sec=26  | BUY    | Down       | price=0.42       | size=17.87      | usd=7.5054    
2026-05-14T22:40:28+00:00 | sec=28  | BUY    | Down       | price=0.41       | size=44.73      | usd=18.3393   
2026-05-14T22:40:28+00:00 | sec=28  | BUY    | Up         | price=0.52       | size=50.0       | usd=26.0      
2026-05-14T22:40:28+00:00 | sec=28  | BUY    | Down       | price=0.43       | size=2.87       | usd=1.2341    
