WINDOW: btc-updown-5m-1778802600 | btc-updown-5m-1778802600
====================================================================================================
window_et: 7:50-7:55 PM ET
window_local: 02:50-02:55 Europe/Kyiv
window_start_iso: 2026-05-14T23:50:00+00:00
window_end_iso:   2026-05-14T23:55:00+00:00
first_ts: 2026-05-14T23:50:07+00:00
last_ts:  2026-05-14T23:54:12+00:00
first_sec_from_start: 7
last_sec_from_start:  252
events:   508
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   508
buy:      508
sell:     0
merge:    0
total_usd: 3564.896172
total_size: 7776.849773
spent_buy_usd: 3564.896172
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -3564.896172
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3897.418423
buy_down_shares: 3879.43135
paired_shares: 3879.43135
unpaired_up_shares: 17.987073
unpaired_down_shares: 0.0
avg_up_buy_price: 0.425648
avg_down_buy_price: 0.491301
pair_cost_per_share: 0.916949

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 3557.240006
paired_redeem_value_usd: 3879.43135
theoretical_pair_pnl_usd: 322.191344
theoretical_pair_roi_pct: 9.0573
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.083051
merge_coverage_pct: 0.0
realization_gap_usd: 3887.087516
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 153
2026-05-14T23:50:07+00:00 | sec=7   | BUY    | Down       | price=0.48       | size=1.923075   | usd=0.923076  
2026-05-14T23:50:09+00:00 | sec=9   | BUY    | Down       | price=0.48       | size=18.18      | usd=8.7264    
2026-05-14T23:50:09+00:00 | sec=9   | BUY    | Down       | price=0.48       | size=26.04      | usd=12.4992   
2026-05-14T23:50:09+00:00 | sec=9   | BUY    | Down       | price=0.480000010400005 | size=3.846152   | usd=1.846153  
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48000003354839094 | size=10.730768  | usd=5.150769  
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.4800000166400028 | size=9.615383   | usd=4.615384  
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48       | size=5.0        | usd=2.4       
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48       | size=5.0        | usd=2.4       
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48       | size=5.79       | usd=2.7792    
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48       | size=22.22      | usd=10.6656   
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48       | size=6.25       | usd=3.0       
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.4800000041683375 | size=9.596152   | usd=4.606153  
2026-05-14T23:50:12+00:00 | sec=12  | BUY    | Down       | price=0.48000027083389757 | size=0.73846    | usd=0.354461  
2026-05-14T23:50:14+00:00 | sec=14  | BUY    | Down       | price=0.48       | size=15.04      | usd=7.2192    
2026-05-14T23:50:14+00:00 | sec=14  | BUY    | Down       | price=0.48       | size=10.0       | usd=4.8       
2026-05-14T23:50:14+00:00 | sec=14  | BUY    | Down       | price=0.48       | size=50.0       | usd=24.0      
2026-05-14T23:50:18+00:00 | sec=18  | BUY    | Down       | price=0.490000043350018 | size=3.921567   | usd=1.921568  
2026-05-14T23:50:18+00:00 | sec=18  | BUY    | Down       | price=0.49       | size=7.4        | usd=3.626     
2026-05-14T23:50:18+00:00 | sec=18  | BUY    | Down       | price=0.4900000204000033 | size=9.80392    | usd=4.803921  
2026-05-14T23:50:18+00:00 | sec=18  | BUY    | Down       | price=0.4900000134855798 | size=8.156861   | usd=3.996862  
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Up         | price=0.46       | size=50.0       | usd=23.0      
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Up         | price=0.46       | size=18.48      | usd=8.5008    
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Up         | price=0.4600000216000099 | size=3.703702   | usd=1.703703  
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Down       | price=0.52       | size=5.0        | usd=2.6       
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Up         | price=0.4600000232941212 | size=9.444443   | usd=4.344444  
2026-05-14T23:50:19+00:00 | sec=19  | BUY    | Up         | price=0.46       | size=16.5       | usd=7.59      
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.4200001740002958 | size=1.724135   | usd=0.724137  
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=10.0       | usd=4.2       
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.4100000115395562 | size=28.597287  | usd=11.724888 
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.43       | size=50.0       | usd=21.5      
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=10.0       | usd=4.2       
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=5.0        | usd=2.1       
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=24.28      | usd=10.1976   
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=5.0        | usd=2.1       
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.4200001378218859 | size=1.741378   | usd=0.731379  
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.45       | size=50.0       | usd=22.5      
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=5.0        | usd=2.1       
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42000001904138073 | size=2.100688   | usd=0.882289  
2026-05-14T23:50:23+00:00 | sec=23  | BUY    | Up         | price=0.42       | size=3.97       | usd=1.6674    
2026-05-14T23:50:25+00:00 | sec=25  | BUY    | Up         | price=0.41       | size=5.0        | usd=2.05      
2026-05-14T23:50:25+00:00 | sec=25  | BUY    | Up         | price=0.42       | size=31.16      | usd=13.0872   
2026-05-14T23:50:25+00:00 | sec=25  | BUY    | Up         | price=0.42       | size=50.0       | usd=21.0      
2026-05-14T23:50:25+00:00 | sec=25  | BUY    | Up         | price=0.41       | size=21.4       | usd=8.774     
2026-05-14T23:50:26+00:00 | sec=26  | BUY    | Up         | price=0.40000005602504546 | size=3.569832   | usd=1.427933  
2026-05-14T23:50:26+00:00 | sec=26  | BUY    | Up         | price=0.4        | size=46.43      | usd=18.572    
2026-05-14T23:50:26+00:00 | sec=26  | BUY    | Up         | price=0.41       | size=45.0       | usd=18.45     
2026-05-14T23:50:28+00:00 | sec=28  | BUY    | Up         | price=0.39       | size=20.01      | usd=7.8039    
2026-05-14T23:50:28+00:00 | sec=28  | BUY    | Up         | price=0.39000000800349915 | size=29.986884  | usd=11.694885 
2026-05-14T23:50:28+00:00 | sec=28  | BUY    | Up         | price=0.4        | size=50.0       | usd=20.0      
2026-05-14T23:50:28+00:00 | sec=28  | BUY    | Down       | price=0.5800001545065704 | size=1.941665   | usd=1.126166  
