WINDOW: btc-updown-5m-1778804400 | btc-updown-5m-1778804400
====================================================================================================
window_et: 8:20-8:25 PM ET
window_local: 03:20-03:25 Europe/Kyiv
window_start_iso: 2026-05-15T00:20:00+00:00
window_end_iso:   2026-05-15T00:25:00+00:00
first_ts: 2026-05-15T00:20:06+00:00
last_ts:  2026-05-15T00:24:55+00:00
first_sec_from_start: 6
last_sec_from_start:  295
events:   357
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   357
buy:      357
sell:     0
merge:    0
total_usd: 2739.088484
total_size: 4962.353384
spent_buy_usd: 2739.088484
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2739.088484
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2480.116646
buy_down_shares: 2482.236738
paired_shares: 2480.116646
unpaired_up_shares: 0.0
unpaired_down_shares: 2.120092
avg_up_buy_price: 0.391116
avg_down_buy_price: 0.712694
pair_cost_per_share: 1.10381

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2737.577507
paired_redeem_value_usd: 2480.116646
theoretical_pair_pnl_usd: -257.460861
theoretical_pair_roi_pct: -9.4047
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.10381
merge_coverage_pct: 0.0
realization_gap_usd: 2481.627623
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 4962.353384
closed_total_pnl_usd: -258.780838
closed_total_settlement_usd: 4703.572546
closed_roi_pct: -5.2149
first_closed_ts: 2026-05-15T00:26:26+00:00
execution_delay_sec: 86

LATEST CLOSED (UP TO 20)
2026-05-15T00:26:26+00:00 | outcome=Down | size=0.0 | bought=2482.236738 | settlement=713.253352 | pnl=-1768.983386
2026-05-15T00:26:26+00:00 | outcome=Up | size=0.0 | bought=2480.116646 | settlement=3990.319194 | pnl=1510.202548


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 113
2026-05-15T00:20:06+00:00 | sec=6   | BUY    | Up         | price=0.46       | size=3.0        | usd=1.38      
2026-05-15T00:20:06+00:00 | sec=6   | BUY    | Up         | price=0.46       | size=5.0        | usd=2.3       
2026-05-15T00:20:08+00:00 | sec=8   | BUY    | Up         | price=0.46       | size=8.62       | usd=3.9652    
2026-05-15T00:20:08+00:00 | sec=8   | BUY    | Up         | price=0.46       | size=1.7        | usd=0.782     
2026-05-15T00:20:08+00:00 | sec=8   | BUY    | Up         | price=0.46       | size=5.0        | usd=2.3       
2026-05-15T00:20:08+00:00 | sec=8   | BUY    | Up         | price=0.46       | size=6.5        | usd=2.99      
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.38       | size=7.95       | usd=3.021     
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.38       | size=5.0        | usd=1.9       
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.39       | size=20.0       | usd=7.8       
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.38       | size=5.0        | usd=1.9       
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.39       | size=8.0        | usd=3.12      
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.38000000527659794 | size=3.790321   | usd=1.440322  
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.39       | size=4.81       | usd=1.8759    
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.39000014030010804 | size=1.639343   | usd=0.639344  
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.38       | size=2.5        | usd=0.95      
2026-05-15T00:20:11+00:00 | sec=11  | BUY    | Up         | price=0.38000002409894323 | size=9.129031   | usd=3.469032  
2026-05-15T00:20:13+00:00 | sec=13  | BUY    | Up         | price=0.38       | size=5.0        | usd=1.9       
2026-05-15T00:20:13+00:00 | sec=13  | BUY    | Up         | price=0.37       | size=44.51      | usd=16.4687   
2026-05-15T00:20:13+00:00 | sec=13  | BUY    | Up         | price=0.37       | size=0.49       | usd=0.1813    
2026-05-15T00:20:13+00:00 | sec=13  | BUY    | Up         | price=0.38       | size=10.0       | usd=3.8       
2026-05-15T00:20:13+00:00 | sec=13  | BUY    | Up         | price=0.38000014880011307 | size=1.612902   | usd=0.612903  
