WINDOW: btc-updown-5m-1778805900 | btc-updown-5m-1778805900
====================================================================================================
window_et: 8:45-8:50 PM ET
window_local: 03:45-03:50 Europe/Kyiv
window_start_iso: 2026-05-15T00:45:00+00:00
window_end_iso:   2026-05-15T00:50:00+00:00
first_ts: 2026-05-15T00:45:13+00:00
last_ts:  2026-05-15T00:50:30+00:00
first_sec_from_start: 13
last_sec_from_start:  330
events:   173
before_window_events: 0
after_window_events: 0
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   172
buy:      172
sell:     0
merge:    0
total_usd: 1576.933865
total_size: 2776.579054
spent_buy_usd: 932.99677
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -932.99677
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 643.937095
buy_down_shares: 1488.704864
paired_shares: 643.937095
unpaired_up_shares: 0.0
unpaired_down_shares: 844.767769
avg_up_buy_price: 0.850179
avg_down_buy_price: 0.258974
pair_cost_per_share: 1.109152

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 714.224272
paired_redeem_value_usd: 643.937095
theoretical_pair_pnl_usd: -70.287177
theoretical_pair_roi_pct: -9.8411
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.109152
merge_coverage_pct: 0.0
realization_gap_usd: 862.709593
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 101
2026-05-15T00:45:13+00:00 | sec=13  | BUY    | Down       | price=0.3800000375727267 | size=7.984515   | usd=3.034116  
2026-05-15T00:45:15+00:00 | sec=15  | BUY    | Down       | price=0.38000007026670557 | size=4.838707   | usd=1.838709  
2026-05-15T00:45:15+00:00 | sec=15  | BUY    | Down       | price=0.38       | size=7.0        | usd=2.66      
2026-05-15T00:45:16+00:00 | sec=16  | BUY    | Down       | price=0.38       | size=10.0       | usd=3.8       
2026-05-15T00:45:16+00:00 | sec=16  | BUY    | Down       | price=0.38       | size=20.17      | usd=7.6646    
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.46       | size=6.0        | usd=2.76      
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.4900000183600067 | size=4.901959   | usd=2.40196   
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Down       | price=0.49       | size=35.19      | usd=17.2431   
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.46000001983972233 | size=16.129258  | usd=7.419459  
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.4900000183600067 | size=4.901959   | usd=2.40196   
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.49       | size=10.0       | usd=4.9       
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.4900000204000033 | size=9.80392    | usd=4.803921  
2026-05-15T00:45:18+00:00 | sec=18  | BUY    | Up         | price=0.49000006865390294 | size=2.039214   | usd=0.999215  
2026-05-15T00:45:20+00:00 | sec=20  | BUY    | Down       | price=0.49       | size=5.0        | usd=2.45      
2026-05-15T00:45:20+00:00 | sec=20  | BUY    | Up         | price=0.5        | size=10.0       | usd=5.0       
2026-05-15T00:45:20+00:00 | sec=20  | BUY    | Down       | price=0.4900000204000033 | size=9.80392    | usd=4.803921  
2026-05-15T00:45:23+00:00 | sec=23  | BUY    | Down       | price=0.43       | size=40.0       | usd=17.2      
2026-05-15T00:45:23+00:00 | sec=23  | BUY    | Down       | price=0.44       | size=35.37      | usd=15.5628   
2026-05-15T00:45:23+00:00 | sec=23  | BUY    | Down       | price=0.4400000165925946 | size=12.05357   | usd=5.303571  
