WINDOW: btc-updown-5m-1778807100 | btc-updown-5m-1778807100
====================================================================================================
window_et: 9:05-9:10 PM ET
window_local: 04:05-04:10 Europe/Kyiv
window_start_iso: 2026-05-15T01:05:00+00:00
window_end_iso:   2026-05-15T01:10:00+00:00
first_ts: 2026-05-15T01:05:12+00:00
last_ts:  2026-05-15T01:09:43+00:00
first_sec_from_start: 12
last_sec_from_start:  283
events:   306
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   306
buy:      306
sell:     0
merge:    0
total_usd: 2579.191117
total_size: 5278.567717
spent_buy_usd: 2579.191117
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2579.191117
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2519.549229
buy_down_shares: 2759.018488
paired_shares: 2519.549229
unpaired_up_shares: 0.0
unpaired_down_shares: 239.469259
avg_up_buy_price: 0.115342
avg_down_buy_price: 0.829491
pair_cost_per_share: 0.944833

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2380.553495
paired_redeem_value_usd: 2519.549229
theoretical_pair_pnl_usd: 138.995734
theoretical_pair_roi_pct: 5.8388
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.055167
merge_coverage_pct: 0.0
realization_gap_usd: 2718.186851
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 5278.567717
closed_total_pnl_usd: 180.021745
closed_total_settlement_usd: 5458.589462
closed_roi_pct: 3.4104
first_closed_ts: 2026-05-15T01:11:26+00:00
execution_delay_sec: 86

LATEST CLOSED (UP TO 20)
2026-05-15T01:11:26+00:00 | outcome=Down | size=0.0 | bought=2759.018488 | settlement=3229.544259 | pnl=470.525771
2026-05-15T01:11:26+00:00 | outcome=Up | size=0.0 | bought=2519.549229 | settlement=2229.045203 | pnl=-290.504026


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 70
2026-05-15T01:05:12+00:00 | sec=12  | BUY    | Down       | price=0.68       | size=3.125      | usd=2.125     
2026-05-15T01:05:15+00:00 | sec=15  | BUY    | Down       | price=0.7100000153700007 | size=34.482757  | usd=24.482758 
2026-05-15T01:05:15+00:00 | sec=15  | BUY    | Down       | price=0.71       | size=5.0        | usd=3.55      
2026-05-15T01:05:15+00:00 | sec=15  | BUY    | Down       | price=0.71       | size=5.0        | usd=3.55      
2026-05-15T01:05:15+00:00 | sec=15  | BUY    | Down       | price=0.7100001705883022 | size=3.51724    | usd=2.497241  
2026-05-15T01:05:15+00:00 | sec=15  | BUY    | Down       | price=0.71       | size=1.99       | usd=1.4129    
2026-05-15T01:05:15+00:00 | sec=15  | BUY    | Down       | price=0.71       | size=50.0       | usd=35.5      
2026-05-15T01:05:19+00:00 | sec=19  | BUY    | Down       | price=0.7200000952000152 | size=7.142856   | usd=5.142857  
2026-05-15T01:05:19+00:00 | sec=19  | BUY    | Down       | price=0.7200001146159624 | size=5.932856   | usd=4.271657  
2026-05-15T01:05:19+00:00 | sec=19  | BUY    | Down       | price=0.72       | size=20.98      | usd=15.1056   
2026-05-15T01:05:19+00:00 | sec=19  | BUY    | Down       | price=0.72       | size=15.93      | usd=11.4696   
2026-05-15T01:05:20+00:00 | sec=20  | BUY    | Down       | price=0.71       | size=10.0       | usd=7.1       
2026-05-15T01:05:20+00:00 | sec=20  | BUY    | Down       | price=0.7100000401807294 | size=11.448274  | usd=8.128275  
2026-05-15T01:05:20+00:00 | sec=20  | BUY    | Down       | price=0.720000156800069 | size=3.571427   | usd=2.571428  
2026-05-15T01:05:20+00:00 | sec=20  | BUY    | Down       | price=0.720000156800069 | size=3.571427   | usd=2.571428  
2026-05-15T01:05:20+00:00 | sec=20  | BUY    | Down       | price=0.7200000373333387 | size=12.857141  | usd=9.257142  
2026-05-15T01:05:20+00:00 | sec=20  | BUY    | Down       | price=0.7100001943102766 | size=3.139309   | usd=2.22891   
2026-05-15T01:05:22+00:00 | sec=22  | BUY    | Down       | price=0.7100000359600027 | size=17.241378  | usd=12.241379 
2026-05-15T01:05:24+00:00 | sec=24  | BUY    | Down       | price=0.71       | size=8.16       | usd=5.7936    
2026-05-15T01:05:24+00:00 | sec=24  | BUY    | Up         | price=0.27       | size=5.71       | usd=1.5417    
2026-05-15T01:05:24+00:00 | sec=24  | BUY    | Up         | price=0.27       | size=7.0        | usd=1.89      
2026-05-15T01:05:24+00:00 | sec=24  | BUY    | Up         | price=0.270000025239381 | size=5.150681   | usd=1.390684  
2026-05-15T01:05:26+00:00 | sec=26  | BUY    | Down       | price=0.72       | size=0.83       | usd=0.5976    
2026-05-15T01:05:26+00:00 | sec=26  | BUY    | Down       | price=0.720000089600031 | size=5.357141   | usd=3.857142  
2026-05-15T01:05:27+00:00 | sec=27  | BUY    | Up         | price=0.24       | size=5.0        | usd=1.2       
2026-05-15T01:05:27+00:00 | sec=27  | BUY    | Up         | price=0.25       | size=6.666664   | usd=1.666666  
2026-05-15T01:05:27+00:00 | sec=27  | BUY    | Down       | price=0.720000156800069 | size=3.571427   | usd=2.571428  
2026-05-15T01:05:27+00:00 | sec=27  | BUY    | Up         | price=0.2600000101062237 | size=17.810807  | usd=4.63081   
2026-05-15T01:05:29+00:00 | sec=29  | BUY    | Up         | price=0.24000008444448198 | size=2.36842    | usd=0.568421  
2026-05-15T01:05:29+00:00 | sec=29  | BUY    | Up         | price=0.24000001827655998 | size=6.565787   | usd=1.575789  
2026-05-15T01:05:29+00:00 | sec=29  | BUY    | Up         | price=0.24       | size=5.0        | usd=1.2       
2026-05-15T01:05:29+00:00 | sec=29  | BUY    | Up         | price=0.2400000142723136 | size=2.802629   | usd=0.672631  
