WINDOW: btc-updown-5m-1778808900 | btc-updown-5m-1778808900
====================================================================================================
window_et: 9:35-9:40 PM ET
window_local: 04:35-04:40 Europe/Kyiv
window_start_iso: 2026-05-15T01:35:00+00:00
window_end_iso:   2026-05-15T01:40:00+00:00
first_ts: 2026-05-15T01:35:09+00:00
last_ts:  2026-05-15T01:40:27+00:00
first_sec_from_start: 9
last_sec_from_start:  327
events:   262
before_window_events: 0
after_window_events: 0
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   261
buy:      261
sell:     0
merge:    0
total_usd: 3737.569944
total_size: 5583.651546
spent_buy_usd: 1931.922703
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -1931.922703
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 1805.647241
buy_down_shares: 1972.357064
paired_shares: 1805.647241
unpaired_up_shares: 0.0
unpaired_down_shares: 166.709823
avg_up_buy_price: 0.605334
avg_down_buy_price: 0.42533
pair_cost_per_share: 1.030664

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 1861.016022
paired_redeem_value_usd: 1805.647241
theoretical_pair_pnl_usd: -55.368781
theoretical_pair_roi_pct: -2.9752
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.030664
merge_coverage_pct: 0.0
realization_gap_usd: 1876.553922
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 161
2026-05-15T01:35:09+00:00 | sec=9   | BUY    | Up         | price=0.53       | size=50.0       | usd=26.5      
2026-05-15T01:35:11+00:00 | sec=11  | BUY    | Down       | price=0.43       | size=5.0        | usd=2.15      
2026-05-15T01:35:12+00:00 | sec=12  | BUY    | Down       | price=0.54       | size=19.26      | usd=10.4004   
2026-05-15T01:35:12+00:00 | sec=12  | BUY    | Up         | price=0.44       | size=20.28      | usd=8.9232    
2026-05-15T01:35:12+00:00 | sec=12  | BUY    | Up         | price=0.44       | size=29.72      | usd=13.0768   
2026-05-15T01:35:12+00:00 | sec=12  | BUY    | Down       | price=0.53       | size=30.74      | usd=16.2922   
2026-05-15T01:35:12+00:00 | sec=12  | BUY    | Down       | price=0.5300000110053704 | size=12.721062  | usd=6.742163  
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Up         | price=0.45000000272817486 | size=18.327271  | usd=8.247272  
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Down       | price=0.5300000361538781 | size=2.212764   | usd=1.172765  
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Up         | price=0.4500000275000124 | size=3.636362   | usd=1.636363  
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Down       | price=0.53       | size=4.31       | usd=2.2843    
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Up         | price=0.45       | size=20.0       | usd=9.0       
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Down       | price=0.53       | size=46.94      | usd=24.8782   
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Up         | price=0.45       | size=4.39       | usd=1.9755    
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Up         | price=0.4500000275000124 | size=3.636362   | usd=1.636363  
2026-05-15T01:35:14+00:00 | sec=14  | BUY    | Down       | price=0.5400000039047028 | size=30.732172  | usd=16.595373 
2026-05-15T01:35:16+00:00 | sec=16  | BUY    | Up         | price=0.37       | size=36.86      | usd=13.6382   
2026-05-15T01:35:16+00:00 | sec=16  | BUY    | Up         | price=0.36       | size=12.05      | usd=4.338     
2026-05-15T01:35:16+00:00 | sec=16  | BUY    | Up         | price=0.36       | size=11.06      | usd=3.9816    
2026-05-15T01:35:16+00:00 | sec=16  | BUY    | Up         | price=0.37       | size=5.0        | usd=1.85      
2026-05-15T01:35:16+00:00 | sec=16  | BUY    | Up         | price=0.38       | size=20.0       | usd=7.6       
