WINDOW: btc-updown-5m-1778809200 | btc-updown-5m-1778809200
====================================================================================================
window_et: 9:40-9:45 PM ET
window_local: 04:40-04:45 Europe/Kyiv
window_start_iso: 2026-05-15T01:40:00+00:00
window_end_iso:   2026-05-15T01:45:00+00:00
first_ts: 2026-05-15T01:40:10+00:00
last_ts:  2026-05-15T01:44:27+00:00
first_sec_from_start: 10
last_sec_from_start:  267
events:   318
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   318
buy:      318
sell:     0
merge:    0
total_usd: 2079.464961
total_size: 4287.600366
spent_buy_usd: 2079.464961
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2079.464961
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2141.675277
buy_down_shares: 2145.925089
paired_shares: 2141.675277
unpaired_up_shares: 0.0
unpaired_down_shares: 4.249812
avg_up_buy_price: 0.368989
avg_down_buy_price: 0.600772
pair_cost_per_share: 0.96976

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2076.911795
paired_redeem_value_usd: 2141.675277
theoretical_pair_pnl_usd: 64.763482
theoretical_pair_roi_pct: 3.1183
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.03024
merge_coverage_pct: 0.0
realization_gap_usd: 2144.228443
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 4287.600366
closed_total_pnl_usd: 66.632413
closed_total_settlement_usd: 4354.232779
closed_roi_pct: 1.5541
first_closed_ts: 2026-05-15T01:46:18+00:00
execution_delay_sec: 78

LATEST CLOSED (UP TO 20)
2026-05-15T01:46:18+00:00 | outcome=Up | size=0.0 | bought=2141.675277 | settlement=1351.506326 | pnl=-790.168951
2026-05-15T01:46:18+00:00 | outcome=Down | size=0.0 | bought=2145.925089 | settlement=3002.726453 | pnl=856.801364


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 89
2026-05-15T01:40:10+00:00 | sec=10  | BUY    | Down       | price=0.33       | size=0.54       | usd=0.1782    
2026-05-15T01:40:10+00:00 | sec=10  | BUY    | Down       | price=0.33       | size=49.46      | usd=16.3218   
2026-05-15T01:40:10+00:00 | sec=10  | BUY    | Up         | price=0.5        | size=50.0       | usd=25.0      
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Up         | price=0.5600000101279149 | size=27.646362  | usd=15.481963 
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Up         | price=0.56       | size=22.35      | usd=12.516    
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Down       | price=0.42       | size=50.0       | usd=21.0      
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Up         | price=0.56       | size=50.0       | usd=28.0      
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.4200040466716126 | size=0.074135   | usd=0.031137  
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137  
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.42       | size=10.63      | usd=4.4646    
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.42000017492085984 | size=2.172411   | usd=0.912413  
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137  
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.3800000136400011 | size=16.129031  | usd=6.129032  
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.3900000549000088 | size=6.557376   | usd=2.557377  
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38       | size=6.45       | usd=2.451     
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.4200000123202622 | size=21.103447  | usd=8.863448  
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39       | size=20.32      | usd=7.9248    
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38000007026670557 | size=4.838707   | usd=1.838709  
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38000014880011307 | size=1.612902   | usd=0.612903  
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39000002352857727 | size=11.475407  | usd=4.475409  
