WINDOW: btc-updown-5m-1778810400 | btc-updown-5m-1778810400
====================================================================================================
window_et: 10:00-10:05 PM ET
window_local: 05:00-05:05 Europe/Kyiv
window_start_iso: 2026-05-15T02:00:00+00:00
window_end_iso:   2026-05-15T02:05:00+00:00
first_ts: 2026-05-15T02:00:10+00:00
last_ts:  2026-05-15T02:04:42+00:00
first_sec_from_start: 10
last_sec_from_start:  282
events:   364
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   364
buy:      364
sell:     0
merge:    0
total_usd: 3263.993141
total_size: 5997.263492
spent_buy_usd: 3263.993141
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -3263.993141
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3010.868537
buy_down_shares: 2986.394955
paired_shares: 2986.394955
unpaired_up_shares: 24.473582
unpaired_down_shares: 0.0
avg_up_buy_price: 0.400151
avg_down_buy_price: 0.689524
pair_cost_per_share: 1.089675

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 3254.200005
paired_redeem_value_usd: 2986.394955
theoretical_pair_pnl_usd: -267.80505
theoretical_pair_roi_pct: -8.2295
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.089675
merge_coverage_pct: 0.0
realization_gap_usd: 2996.188091
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 50
2026-05-15T02:00:10+00:00 | sec=10  | BUY    | Down       | price=0.41       | size=7.11       | usd=2.9151    
2026-05-15T02:00:10+00:00 | sec=10  | BUY    | Up         | price=0.52       | size=50.0       | usd=26.0      
2026-05-15T02:00:10+00:00 | sec=10  | BUY    | Down       | price=0.41       | size=5.0        | usd=2.05      
2026-05-15T02:00:21+00:00 | sec=21  | BUY    | Up         | price=0.36       | size=9.9        | usd=3.564     
2026-05-15T02:00:21+00:00 | sec=21  | BUY    | Up         | price=0.36       | size=5.0        | usd=1.8       
2026-05-15T02:00:21+00:00 | sec=21  | BUY    | Up         | price=0.36       | size=30.0       | usd=10.8      
2026-05-15T02:00:21+00:00 | sec=21  | BUY    | Up         | price=0.36       | size=5.0        | usd=1.8       
2026-05-15T02:00:23+00:00 | sec=23  | BUY    | Up         | price=0.36       | size=0.1        | usd=0.036     
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.29       | size=4.16       | usd=1.2064    
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.2900000842922659 | size=3.084506   | usd=0.894507  
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.29       | size=0.01       | usd=0.0029    
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.29       | size=5.0        | usd=1.45      
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.29       | size=32.69      | usd=9.4801    
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.2900000943671358 | size=2.225351   | usd=0.645352  
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.29000005680010904 | size=1.408448   | usd=0.40845   
2026-05-15T02:00:24+00:00 | sec=24  | BUY    | Up         | price=0.29000005680010904 | size=1.408448   | usd=0.40845   
2026-05-15T02:00:33+00:00 | sec=33  | BUY    | Up         | price=0.2700000127444221 | size=3.923285   | usd=1.059287  
2026-05-15T02:00:33+00:00 | sec=33  | BUY    | Up         | price=0.27       | size=31.82      | usd=8.5914    
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.7        | size=5.0        | usd=3.5       
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.67       | size=0.5        | usd=0.335     
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.67       | size=9.5        | usd=6.365     
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.7        | size=20.0       | usd=14.0      
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.69       | size=28.0       | usd=19.32     
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.7        | size=7.0        | usd=4.9       
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.67       | size=40.0       | usd=26.8      
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.66       | size=4.17       | usd=2.7522    
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.68       | size=27.17      | usd=18.4756   
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.66       | size=29.5       | usd=19.47     
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.68       | size=5.48       | usd=3.7264    
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.6600000318558586 | size=16.323528  | usd=10.773529 
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.7        | size=18.0       | usd=12.6      
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.68       | size=17.34375   | usd=11.79375  
2026-05-15T02:00:38+00:00 | sec=38  | BUY    | Down       | price=0.69       | size=22.0       | usd=15.18     
2026-05-15T02:00:40+00:00 | sec=40  | BUY    | Down       | price=0.6500000109586567 | size=41.063427  | usd=26.691228 
2026-05-15T02:00:42+00:00 | sec=42  | BUY    | Down       | price=0.66       | size=39.0       | usd=25.74     
2026-05-15T02:00:42+00:00 | sec=42  | BUY    | Down       | price=0.66       | size=11.0       | usd=7.26      
2026-05-15T02:00:49+00:00 | sec=49  | BUY    | Up         | price=0.3        | size=9.35714    | usd=2.807142  
2026-05-15T02:00:51+00:00 | sec=51  | BUY    | Down       | price=0.670000217800074 | size=3.030302   | usd=2.030303  
2026-05-15T02:00:54+00:00 | sec=54  | BUY    | Down       | price=0.55       | size=50.0       | usd=27.5      
