seq,external_id,timestamp,unix_ts,window_key,window_et_label,window_local_label,sec_from_window_start,sec_to_window_end,action_class,activity_type,outcome,side,price,size,amount_usd,cum_events,cum_buy,cum_sell,cum_merge,cum_usd,cum_size,cum_up_shares,cum_down_shares,cum_pairs_min,market_slug,event_slug,title
1,raw:43ab78c51e40384e8829c6a023841e2c03883d11,2026-05-15T02:05:10+00:00,1778810710,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.49000002117845265,17.470587,8.560588,1,1,0,0,8.560588,17.470587,0.0,17.470587,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
2,raw:ae5e51a94832afc131b7a34b92d7d04c9e7a6579,2026-05-15T02:05:10+00:00,1778810710,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.4900000017000006,5.882351,2.882352,2,2,0,0,11.44294,23.352938,0.0,23.352938,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
3,raw:b2c4397b343491d93339d887e470b6860df8c5b7,2026-05-15T02:05:10+00:00,1778810710,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.4900001683001128,1.960783,0.960784,3,3,0,0,12.403724,25.313721,0.0,25.313721,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
4,raw:c7b421151f26ff060dacccd5b425fc8e7d591811,2026-05-15T02:05:10+00:00,1778810710,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.49,13.81,6.7669,4,4,0,0,19.170624,39.123721,0.0,39.123721,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
5,raw:6c2ccc311575c55798c27f77454579bbbdf4a368,2026-05-15T02:05:17+00:00,1778810717,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,17,283,BUY,TRADE,Down,BUY,0.58,50.0,29.0,5,5,0,0,48.170624,89.123721,0.0,89.123721,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
6,raw:ecce3d4396c33c6fb3e33d7b99c201b3910db453,2026-05-15T02:05:17+00:00,1778810717,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,17,283,BUY,TRADE,Down,BUY,0.5700000359081577,4.455812,2.539813,6,6,0,0,50.710437,93.579533,0.0,93.579533,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
7,raw:fb43d75d2b56b90e174d6c5a9a52276d1c92feaf,2026-05-15T02:05:17+00:00,1778810717,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,17,283,BUY,TRADE,Down,BUY,0.57,45.54,25.9578,7,7,0,0,76.668237,139.119533,0.0,139.119533,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
8,raw:25bed9eac6af9af8f75b863080b9c8cac6ffb729,2026-05-15T02:05:18+00:00,1778810718,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,18,282,BUY,TRADE,Down,BUY,0.56,30.0,16.8,8,8,0,0,93.468237,169.119533,0.0,169.119533,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
9,raw:91765f7b03ca4d3dede486c8a0e702f67d2ce625,2026-05-15T02:05:18+00:00,1778810718,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,18,282,BUY,TRADE,Down,BUY,0.5600000079200003,45.454544,25.454545,9,9,0,0,118.922782,214.574077,0.0,214.574077,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
10,raw:d5039f9f4deedd9df2243bcdec6b1bce58f67fc6,2026-05-15T02:05:18+00:00,1778810718,btc-updown-5m-1778810700 | btc-updown-5m-1778810700,10:05-10:10 PM ET,05:05-05:10 Europe/Kyiv,18,282,BUY,TRADE,Down,BUY,0.56,4.54,2.5424,10,10,0,0,121.465182,219.114077,0.0,219.114077,0.0,btc-updown-5m-1778810700,btc-updown-5m-1778810700,"Bitcoin Up or Down - May 14, 10:05PM-10:10PM ET"
