WINDOW: btc-updown-5m-1778811000 | btc-updown-5m-1778811000
====================================================================================================
window_et: 10:10-10:15 PM ET
window_local: 05:10-05:15 Europe/Kyiv
window_start_iso: 2026-05-15T02:10:00+00:00
window_end_iso:   2026-05-15T02:15:00+00:00
first_ts: 2026-05-15T02:10:07+00:00
last_ts:  2026-05-15T02:13:09+00:00
first_sec_from_start: 7
last_sec_from_start:  189
events:   404
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   404
buy:      404
sell:     0
merge:    0
total_usd: 3087.720603
total_size: 6647.779976
spent_buy_usd: 3087.720603
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -3087.720603
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3311.553238
buy_down_shares: 3336.226738
paired_shares: 3311.553238
unpaired_up_shares: 0.0
unpaired_down_shares: 24.6735
avg_up_buy_price: 0.11498
avg_down_buy_price: 0.811383
pair_cost_per_share: 0.926363

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 3067.70094
paired_redeem_value_usd: 3311.553238
theoretical_pair_pnl_usd: 243.852298
theoretical_pair_roi_pct: 7.949
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.073637
merge_coverage_pct: 0.0
realization_gap_usd: 3331.572901
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 90
2026-05-15T02:10:07+00:00 | sec=7   | BUY    | Down       | price=0.62       | size=15.0       | usd=9.3       
2026-05-15T02:10:07+00:00 | sec=7   | BUY    | Down       | price=0.62       | size=6.43       | usd=3.9866    
2026-05-15T02:10:07+00:00 | sec=7   | BUY    | Down       | price=0.62       | size=43.57      | usd=27.0134   
2026-05-15T02:10:07+00:00 | sec=7   | BUY    | Down       | price=0.62       | size=15.0       | usd=9.3       
2026-05-15T02:10:09+00:00 | sec=9   | BUY    | Down       | price=0.6200000318881167 | size=11.289472  | usd=6.999473  
2026-05-15T02:10:09+00:00 | sec=9   | BUY    | Down       | price=0.62       | size=8.71       | usd=5.4002    
2026-05-15T02:10:12+00:00 | sec=12  | BUY    | Down       | price=0.74       | size=50.0       | usd=37.0      
2026-05-15T02:10:12+00:00 | sec=12  | BUY    | Down       | price=0.74       | size=50.0       | usd=37.0      
2026-05-15T02:10:12+00:00 | sec=12  | BUY    | Down       | price=0.73       | size=46.91      | usd=34.2443   
2026-05-15T02:10:12+00:00 | sec=12  | BUY    | Down       | price=0.73       | size=50.0       | usd=36.5      
2026-05-15T02:10:12+00:00 | sec=12  | BUY    | Down       | price=0.73       | size=50.0       | usd=36.5      
2026-05-15T02:10:12+00:00 | sec=12  | BUY    | Down       | price=0.73       | size=3.09       | usd=2.2557    
2026-05-15T02:10:14+00:00 | sec=14  | BUY    | Down       | price=0.7300001458000671 | size=3.703702   | usd=2.703703  
2026-05-15T02:10:14+00:00 | sec=14  | BUY    | Down       | price=0.73       | size=5.0        | usd=3.65      
2026-05-15T02:10:14+00:00 | sec=14  | BUY    | Down       | price=0.72       | size=5.0        | usd=3.6       
2026-05-15T02:10:14+00:00 | sec=14  | BUY    | Down       | price=0.72       | size=20.0       | usd=14.4      
