WINDOW: btc-updown-5m-1778811600 | btc-updown-5m-1778811600
====================================================================================================
window_et: 10:20-10:25 PM ET
window_local: 05:20-05:25 Europe/Kyiv
window_start_iso: 2026-05-15T02:20:00+00:00
window_end_iso:   2026-05-15T02:25:00+00:00
first_ts: 2026-05-15T02:20:20+00:00
last_ts:  2026-05-15T02:24:39+00:00
first_sec_from_start: 20
last_sec_from_start:  279
events:   239
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   239
buy:      239
sell:     0
merge:    0
total_usd: 2335.314551
total_size: 4135.388278
spent_buy_usd: 2335.314551
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2335.314551
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2092.042542
buy_down_shares: 2043.345736
paired_shares: 2043.345736
unpaired_up_shares: 48.696806
unpaired_down_shares: 0.0
avg_up_buy_price: 0.543041
avg_down_buy_price: 0.586905
pair_cost_per_share: 1.129946

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2308.8702
paired_redeem_value_usd: 2043.345736
theoretical_pair_pnl_usd: -265.524464
theoretical_pair_roi_pct: -11.5002
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.129946
merge_coverage_pct: 0.0
realization_gap_usd: 2069.790087
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 49
2026-05-15T02:20:20+00:00 | sec=20  | BUY    | Down       | price=0.5700000063348373 | size=45.778603  | usd=26.093804 
2026-05-15T02:20:20+00:00 | sec=20  | BUY    | Down       | price=0.57       | size=1.89       | usd=1.0773    
2026-05-15T02:20:20+00:00 | sec=20  | BUY    | Down       | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T02:20:27+00:00 | sec=27  | BUY    | Down       | price=0.6400000240000024 | size=16.666665  | usd=10.666666 
2026-05-15T02:20:27+00:00 | sec=27  | BUY    | Down       | price=0.64000006240001 | size=8.333332   | usd=5.333333  
2026-05-15T02:20:27+00:00 | sec=27  | BUY    | Down       | price=0.64       | size=10.0       | usd=6.4       
2026-05-15T02:20:28+00:00 | sec=28  | BUY    | Down       | price=0.6500000157500009 | size=28.571427  | usd=18.571428 
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.63       | size=13.59      | usd=8.5617    
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.61       | size=45.79      | usd=27.9319   
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.62       | size=23.59      | usd=14.6258   
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.6        | size=50.0       | usd=30.0      
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.58       | size=50.0       | usd=29.0      
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.57       | size=0.79       | usd=0.4503    
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.59       | size=50.0       | usd=29.5      
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.62       | size=26.41      | usd=16.3742   
2026-05-15T02:20:30+00:00 | sec=30  | BUY    | Down       | price=0.57       | size=10.17      | usd=5.7969    
