WINDOW: btc-updown-5m-1778811900 | btc-updown-5m-1778811900
====================================================================================================
window_et: 10:25-10:30 PM ET
window_local: 05:25-05:30 Europe/Kyiv
window_start_iso: 2026-05-15T02:25:00+00:00
window_end_iso:   2026-05-15T02:30:00+00:00
first_ts: 2026-05-15T02:25:19+00:00
last_ts:  2026-05-15T02:29:45+00:00
first_sec_from_start: 19
last_sec_from_start:  285
events:   427
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   427
buy:      427
sell:     0
merge:    0
total_usd: 2779.23988
total_size: 5959.206567
spent_buy_usd: 2779.23988
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2779.23988
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2896.194517
buy_down_shares: 3063.01205
paired_shares: 2896.194517
unpaired_up_shares: 0.0
unpaired_down_shares: 166.817533
avg_up_buy_price: 0.151168
avg_down_buy_price: 0.76442
pair_cost_per_share: 0.915588

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2651.721154
paired_redeem_value_usd: 2896.194517
theoretical_pair_pnl_usd: 244.473363
theoretical_pair_roi_pct: 9.2194
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.084412
merge_coverage_pct: 0.0
realization_gap_usd: 3023.713243
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 99
2026-05-15T02:25:19+00:00 | sec=19  | BUY    | Down       | price=0.75       | size=50.0       | usd=37.5      
2026-05-15T02:25:21+00:00 | sec=21  | BUY    | Down       | price=0.76       | size=43.4525    | usd=33.0239   
2026-05-15T02:25:21+00:00 | sec=21  | BUY    | Down       | price=0.7800001100000236 | size=6.363635   | usd=4.963636  
2026-05-15T02:25:21+00:00 | sec=21  | BUY    | Down       | price=0.78       | size=3.67       | usd=2.8626    
2026-05-15T02:25:21+00:00 | sec=21  | BUY    | Down       | price=0.7800001452000493 | size=4.545453   | usd=3.545454  
2026-05-15T02:25:21+00:00 | sec=21  | BUY    | Down       | price=0.78       | size=2.04       | usd=1.5912    
2026-05-15T02:25:21+00:00 | sec=21  | BUY    | Down       | price=0.7800000616000073 | size=11.363635  | usd=8.863636  
2026-05-15T02:25:22+00:00 | sec=22  | BUY    | Down       | price=0.78       | size=22.0       | usd=17.16     
2026-05-15T02:25:24+00:00 | sec=24  | BUY    | Down       | price=0.78       | size=6.37       | usd=4.9686    
2026-05-15T02:25:24+00:00 | sec=24  | BUY    | Down       | price=0.78       | size=40.48      | usd=31.5744   
2026-05-15T02:25:24+00:00 | sec=24  | BUY    | Down       | price=0.7800002419682461 | size=3.140908   | usd=2.449909  
2026-05-15T02:25:26+00:00 | sec=26  | BUY    | Down       | price=0.78       | size=28.0       | usd=21.84     
2026-05-15T02:25:26+00:00 | sec=26  | BUY    | Down       | price=0.780000051461995 | size=12.436362  | usd=9.700363  
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.76       | size=6.54       | usd=4.9704    
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.77       | size=5.0        | usd=3.85      
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.75       | size=36.54      | usd=27.405    
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.7300000668571581 | size=7.777776   | usd=5.677777  
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.71       | size=19.0       | usd=13.49     
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.75       | size=13.46      | usd=10.095    
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.78       | size=9.56       | usd=7.4568    
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.7300000343526819 | size=16.592591  | usd=12.112592 
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.73       | size=3.16       | usd=2.3068    
2026-05-15T02:25:28+00:00 | sec=28  | BUY    | Down       | price=0.72       | size=50.0       | usd=36.0      
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.71       | size=31.0       | usd=22.01     
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.7        | size=3.0        | usd=2.1       
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.77       | size=45.0       | usd=34.65     
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.7000000180000007 | size=33.333332  | usd=23.333333 
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.74       | size=50.0       | usd=37.0      
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.73       | size=22.46      | usd=16.3958   
2026-05-15T02:25:29+00:00 | sec=29  | BUY    | Down       | price=0.7        | size=9.92       | usd=6.944     
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.66       | size=5.0        | usd=3.3       
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.66       | size=5.0        | usd=3.3       
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.6700001635135798 | size=3.363635   | usd=2.253636  
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.69       | size=7.24       | usd=4.9956    
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.68       | size=27.0       | usd=18.36     
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.6700000633600132 | size=7.575756   | usd=5.075757  
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.6700001342373473 | size=3.575756   | usd=2.395757  
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.7        | size=3.74       | usd=2.618     
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.68       | size=5.68       | usd=3.8624    
2026-05-15T02:25:31+00:00 | sec=31  | BUY    | Down       | price=0.67       | size=1.29       | usd=0.8643    
