WINDOW: btc-updown-5m-1778813700 | btc-updown-5m-1778813700
====================================================================================================
window_et: 10:55-11:00 PM ET
window_local: 05:55-06:00 Europe/Kyiv
window_start_iso: 2026-05-15T02:55:00+00:00
window_end_iso:   2026-05-15T03:00:00+00:00
first_ts: 2026-05-15T02:55:09+00:00
last_ts:  2026-05-15T03:00:29+00:00
first_sec_from_start: 9
last_sec_from_start:  329
events:   473
before_window_events: 0
after_window_events: 0
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   472
buy:      472
sell:     0
merge:    0
total_usd: 6147.336054
total_size: 9318.549156
spent_buy_usd: 3025.600224
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -3025.600224
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3075.077496
buy_down_shares: 3121.73583
paired_shares: 3075.077496
unpaired_up_shares: 0.0
unpaired_down_shares: 46.658334
avg_up_buy_price: 0.396966
avg_down_buy_price: 0.578172
pair_cost_per_share: 0.975138

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2998.623681
paired_redeem_value_usd: 3075.077496
theoretical_pair_pnl_usd: 76.453815
theoretical_pair_roi_pct: 2.5496
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.024862
merge_coverage_pct: 0.0
realization_gap_usd: 3102.054039
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 6196.813326
closed_total_pnl_usd: 96.490662
closed_total_settlement_usd: 6293.303988
closed_roi_pct: 1.5571
first_closed_ts: 2026-05-15T03:00:51+00:00
execution_delay_sec: 51

LATEST CLOSED (UP TO 20)
2026-05-15T03:00:51+00:00 | outcome=Up | size=0.0 | bought=3075.077496 | settlement=1854.554638 | pnl=-1220.522858
2026-05-15T03:00:51+00:00 | outcome=Down | size=0.0 | bought=3121.73583 | settlement=4438.74935 | pnl=1317.01352


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 130
2026-05-15T02:55:09+00:00 | sec=9   | BUY    | Up         | price=0.44       | size=17.67      | usd=7.7748    
2026-05-15T02:55:09+00:00 | sec=9   | BUY    | Up         | price=0.44       | size=32.33      | usd=14.2252   
2026-05-15T02:55:11+00:00 | sec=11  | BUY    | Up         | price=0.47000003365079746 | size=10.698112  | usd=5.028113  
2026-05-15T02:55:11+00:00 | sec=11  | BUY    | Up         | price=0.47000003365079746 | size=10.698112  | usd=5.028113  
2026-05-15T02:55:11+00:00 | sec=11  | BUY    | Up         | price=0.47       | size=21.73      | usd=10.2131   
2026-05-15T02:55:11+00:00 | sec=11  | BUY    | Up         | price=0.47       | size=6.87       | usd=3.2289    
2026-05-15T02:55:13+00:00 | sec=13  | BUY    | Up         | price=0.45       | size=10.0       | usd=4.5       
2026-05-15T02:55:13+00:00 | sec=13  | BUY    | Up         | price=0.45       | size=40.0       | usd=18.0      
2026-05-15T02:55:13+00:00 | sec=13  | BUY    | Up         | price=0.44       | size=6.87       | usd=3.0228    
2026-05-15T02:55:14+00:00 | sec=14  | BUY    | Up         | price=0.44       | size=3.0        | usd=1.32      
2026-05-15T02:55:14+00:00 | sec=14  | BUY    | Up         | price=0.44       | size=8.5        | usd=3.74      
2026-05-15T02:55:14+00:00 | sec=14  | BUY    | Up         | price=0.4400001568001129 | size=1.785713   | usd=0.785714  
2026-05-15T02:55:14+00:00 | sec=14  | BUY    | Up         | price=0.44       | size=8.09       | usd=3.5596    
2026-05-15T02:55:14+00:00 | sec=14  | BUY    | Up         | price=0.44       | size=21.75      | usd=9.57      
2026-05-15T02:55:23+00:00 | sec=23  | BUY    | Up         | price=0.4700001219000939 | size=1.886791   | usd=0.886792  
2026-05-15T02:55:23+00:00 | sec=23  | BUY    | Up         | price=0.4700001219000939 | size=3.773582   | usd=1.773584  
2026-05-15T02:55:25+00:00 | sec=25  | BUY    | Up         | price=0.47000000795795865 | size=18.849055  | usd=8.859056  
2026-05-15T02:55:25+00:00 | sec=25  | BUY    | Up         | price=0.4700001219000939 | size=1.886791   | usd=0.886792  
2026-05-15T02:55:27+00:00 | sec=27  | BUY    | Up         | price=0.46       | size=50.0       | usd=23.0      
2026-05-15T02:55:27+00:00 | sec=27  | BUY    | Up         | price=0.47       | size=23.59      | usd=11.0873   
2026-05-15T02:55:28+00:00 | sec=28  | BUY    | Up         | price=0.4100000458889108 | size=3.050846   | usd=1.250847  
