WINDOW: btc-updown-5m-1778814000 | btc-updown-5m-1778814000
====================================================================================================
window_et: 11:00-11:05 PM ET
window_local: 06:00-06:05 Europe/Kyiv
window_start_iso: 2026-05-15T03:00:00+00:00
window_end_iso:   2026-05-15T03:05:00+00:00
first_ts: 2026-05-15T03:00:10+00:00
last_ts:  2026-05-15T03:05:29+00:00
first_sec_from_start: 10
last_sec_from_start:  329
events:   405
before_window_events: 0
after_window_events: 0
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   404
buy:      404
sell:     0
merge:    0
total_usd: 6684.749939
total_size: 10027.790664
spent_buy_usd: 3349.788366
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -3349.788366
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3357.867518
buy_down_shares: 3334.961573
paired_shares: 3334.961573
unpaired_up_shares: 22.905945
unpaired_down_shares: 0.0
avg_up_buy_price: 0.552795
avg_down_buy_price: 0.447854
pair_cost_per_share: 1.000649

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 3337.126072
paired_redeem_value_usd: 3334.961573
theoretical_pair_pnl_usd: -2.164499
theoretical_pair_roi_pct: -0.0649
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.000649
merge_coverage_pct: 0.0
realization_gap_usd: 3347.623867
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 6692.829091
closed_total_pnl_usd: -14.518697
closed_total_settlement_usd: 6678.310394
closed_roi_pct: -0.2169
first_closed_ts: 2026-05-15T03:06:08+00:00
execution_delay_sec: 68

LATEST CLOSED (UP TO 20)
2026-05-15T03:06:08+00:00 | outcome=Down | size=0.0 | bought=3334.961573 | settlement=5176.483999 | pnl=1841.522426
2026-05-15T03:06:08+00:00 | outcome=Up | size=0.0 | bought=3357.867518 | settlement=1501.826395 | pnl=-1856.041123


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 152
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=5.01       | usd=2.004     
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=5.85       | usd=2.34      
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=8.33       | usd=3.332     
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:10+00:00 | sec=10  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.42000020097852897 | size=1.691723   | usd=0.710524  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4        | size=16.0       | usd=6.4       
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4        | size=1.45       | usd=0.58      
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.42       | size=8.79       | usd=3.6918    
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.4        | size=1.666665   | usd=0.666666  
2026-05-15T03:00:12+00:00 | sec=12  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T03:00:14+00:00 | sec=14  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T03:00:14+00:00 | sec=14  | BUY    | Up         | price=0.56       | size=41.0       | usd=22.96     
