WINDOW: btc-updown-5m-1778814300 | btc-updown-5m-1778814300
====================================================================================================
window_et: 11:05-11:10 PM ET
window_local: 06:05-06:10 Europe/Kyiv
window_start_iso: 2026-05-15T03:05:00+00:00
window_end_iso:   2026-05-15T03:10:00+00:00
first_ts: 2026-05-15T03:05:06+00:00
last_ts:  2026-05-15T03:09:30+00:00
first_sec_from_start: 6
last_sec_from_start:  270
events:   284
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   284
buy:      284
sell:     0
merge:    0
total_usd: 2070.981945
total_size: 4126.402554
spent_buy_usd: 2070.981945
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -2070.981945
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 2068.427703
buy_down_shares: 2057.974851
paired_shares: 2057.974851
unpaired_up_shares: 10.452852
unpaired_down_shares: 0.0
avg_up_buy_price: 0.31378
avg_down_buy_price: 0.690947
pair_cost_per_share: 1.004727

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 2067.702051
paired_redeem_value_usd: 2057.974851
theoretical_pair_pnl_usd: -9.7272
theoretical_pair_roi_pct: -0.4704
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.004727
merge_coverage_pct: 0.0
realization_gap_usd: 2061.254745
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 102
2026-05-15T03:05:06+00:00 | sec=6   | BUY    | Down       | price=0.42       | size=50.0       | usd=21.0      
2026-05-15T03:05:08+00:00 | sec=8   | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301  
2026-05-15T03:05:08+00:00 | sec=8   | BUY    | Down       | price=0.37       | size=0.94       | usd=0.3478    
2026-05-15T03:05:11+00:00 | sec=11  | BUY    | Up         | price=0.5        | size=25.0       | usd=12.5      
2026-05-15T03:05:11+00:00 | sec=11  | BUY    | Up         | price=0.5        | size=16.94      | usd=8.47      
2026-05-15T03:05:11+00:00 | sec=11  | BUY    | Up         | price=0.5        | size=8.06       | usd=4.03      
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Down       | price=0.4700001219000939 | size=1.886791   | usd=0.886792  
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Up         | price=0.49       | size=50.0       | usd=24.5      
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Down       | price=0.47       | size=19.0       | usd=8.93      
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Up         | price=0.51       | size=9.5        | usd=4.845     
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Up         | price=0.46       | size=50.0       | usd=23.0      
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Down       | price=0.46       | size=50.0       | usd=23.0      
2026-05-15T03:05:13+00:00 | sec=13  | BUY    | Up         | price=0.48       | size=50.0       | usd=24.0      
2026-05-15T03:05:15+00:00 | sec=15  | BUY    | Up         | price=0.5200001728001106 | size=2.083332   | usd=1.083333  
2026-05-15T03:05:15+00:00 | sec=15  | BUY    | Up         | price=0.5200000394736972 | size=5.066665   | usd=2.634666  
2026-05-15T03:05:15+00:00 | sec=15  | BUY    | Up         | price=0.52       | size=5.0        | usd=2.6       
2026-05-15T03:05:15+00:00 | sec=15  | BUY    | Up         | price=0.5200001728001106 | size=2.083332   | usd=1.083333  
2026-05-15T03:05:15+00:00 | sec=15  | BUY    | Up         | price=0.5200001728001106 | size=2.083332   | usd=1.083333  
2026-05-15T03:05:16+00:00 | sec=16  | BUY    | Up         | price=0.5200001728001106 | size=2.083332   | usd=1.083333  
2026-05-15T03:05:16+00:00 | sec=16  | BUY    | Up         | price=0.52       | size=5.0        | usd=2.6       
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Down       | price=0.4        | size=40.0       | usd=16.0      
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Down       | price=0.4        | size=10.0       | usd=4.0       
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Down       | price=0.3900000465076435 | size=6.665571   | usd=2.599573  
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Up         | price=0.52       | size=26.57      | usd=13.8164   
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Down       | price=0.39       | size=7.48       | usd=2.9172    
2026-05-15T03:05:18+00:00 | sec=18  | BUY    | Down       | price=0.39       | size=14.0       | usd=5.46      
2026-05-15T03:05:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=0.51       | usd=0.1989    
2026-05-15T03:05:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=11.34      | usd=4.4226    
2026-05-15T03:05:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=10.0       | usd=3.9       
2026-05-15T03:05:20+00:00 | sec=20  | BUY    | Up         | price=0.5800001764001023 | size=2.380951   | usd=1.380952  
2026-05-15T03:05:22+00:00 | sec=22  | BUY    | Up         | price=0.5800001764001023 | size=2.380951   | usd=1.380952  
2026-05-15T03:05:22+00:00 | sec=22  | BUY    | Up         | price=0.5800001764001023 | size=2.380951   | usd=1.380952  
2026-05-15T03:05:22+00:00 | sec=22  | BUY    | Up         | price=0.5500000085456296 | size=23.403776  | usd=12.872077 
2026-05-15T03:05:22+00:00 | sec=22  | BUY    | Up         | price=0.5800001764001023 | size=2.380951   | usd=1.380952  
2026-05-15T03:05:22+00:00 | sec=22  | BUY    | Up         | price=0.5800001764001023 | size=2.380951   | usd=1.380952  
2026-05-15T03:05:22+00:00 | sec=22  | BUY    | Up         | price=0.5800000303876025 | size=9.214284   | usd=5.344285  
2026-05-15T03:05:23+00:00 | sec=23  | BUY    | Down       | price=0.35       | size=50.0       | usd=17.5      
