WINDOW: btc-updown-5m-1778815200 | btc-updown-5m-1778815200
====================================================================================================
window_et: 11:20-11:25 PM ET
window_local: 06:20-06:25 Europe/Kyiv
window_start_iso: 2026-05-15T03:20:00+00:00
window_end_iso:   2026-05-15T03:25:00+00:00
first_ts: 2026-05-15T03:20:12+00:00
last_ts:  2026-05-15T03:24:59+00:00
first_sec_from_start: 12
last_sec_from_start:  299
events:   388
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   388
buy:      388
sell:     0
merge:    0
total_usd: 4308.350634
total_size: 6839.449732
spent_buy_usd: 4308.350634
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -4308.350634
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3422.328558
buy_down_shares: 3417.121174
paired_shares: 3417.121174
unpaired_up_shares: 5.207384
unpaired_down_shares: 0.0
avg_up_buy_price: 0.469653
avg_down_buy_price: 0.790444
pair_cost_per_share: 1.260097

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 4305.90497
paired_redeem_value_usd: 3417.121174
theoretical_pair_pnl_usd: -888.783796
theoretical_pair_roi_pct: -20.641
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.260097
merge_coverage_pct: 0.0
realization_gap_usd: 3419.566838
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 33
2026-05-15T03:20:12+00:00 | sec=12  | BUY    | Down       | price=0.47       | size=27.42      | usd=12.8874   
2026-05-15T03:20:12+00:00 | sec=12  | BUY    | Down       | price=0.47000000530000124 | size=7.547168   | usd=3.547169  
2026-05-15T03:20:12+00:00 | sec=12  | BUY    | Down       | price=0.47       | size=10.0       | usd=4.7       
2026-05-15T03:20:14+00:00 | sec=14  | BUY    | Down       | price=0.47       | size=5.0        | usd=2.35      
2026-05-15T03:20:18+00:00 | sec=18  | BUY    | Down       | price=0.47       | size=0.03       | usd=0.0141    
2026-05-15T03:20:26+00:00 | sec=26  | BUY    | Down       | price=0.6500001225000797 | size=2.857141   | usd=1.857142  
2026-05-15T03:20:26+00:00 | sec=26  | BUY    | Down       | price=0.65       | size=3.0        | usd=1.95      
2026-05-15T03:20:26+00:00 | sec=26  | BUY    | Down       | price=0.6500000937652421 | size=5.865713   | usd=3.812714  
2026-05-15T03:20:26+00:00 | sec=26  | BUY    | Down       | price=0.6500001225000797 | size=2.857141   | usd=1.857142  
2026-05-15T03:20:26+00:00 | sec=26  | BUY    | Down       | price=0.6500001225000797 | size=2.857141   | usd=1.857142  
2026-05-15T03:20:28+00:00 | sec=28  | BUY    | Down       | price=0.6500001225000797 | size=2.857141   | usd=1.857142  
2026-05-15T03:20:28+00:00 | sec=28  | BUY    | Down       | price=0.650000070000021 | size=5.714284   | usd=3.714285  
2026-05-15T03:20:28+00:00 | sec=28  | BUY    | Down       | price=0.6500001225000797 | size=2.857141   | usd=1.857142  
2026-05-15T03:20:30+00:00 | sec=30  | BUY    | Down       | price=0.65       | size=21.11      | usd=13.7215   
2026-05-15T03:20:35+00:00 | sec=35  | BUY    | Down       | price=0.6        | size=50.0       | usd=30.0      
2026-05-15T03:20:37+00:00 | sec=37  | BUY    | Down       | price=0.59       | size=50.0       | usd=29.5      
2026-05-15T03:20:37+00:00 | sec=37  | BUY    | Up         | price=0.36       | size=4.75       | usd=1.71      
2026-05-15T03:20:37+00:00 | sec=37  | BUY    | Down       | price=0.6100001521000927 | size=2.564101   | usd=1.564102  
2026-05-15T03:20:39+00:00 | sec=39  | BUY    | Up         | price=0.36       | size=4.6875     | usd=1.6875    
2026-05-15T03:20:39+00:00 | sec=39  | BUY    | Up         | price=0.34       | size=50.0       | usd=17.0      
2026-05-15T03:20:39+00:00 | sec=39  | BUY    | Up         | price=0.36       | size=4.6875     | usd=1.6875    
2026-05-15T03:20:44+00:00 | sec=44  | BUY    | Down       | price=0.68       | size=1.55       | usd=1.054     
2026-05-15T03:20:44+00:00 | sec=44  | BUY    | Down       | price=0.68       | size=32.3       | usd=21.964    
2026-05-15T03:20:44+00:00 | sec=44  | BUY    | Down       | price=0.68       | size=16.14125   | usd=10.97605  
2026-05-15T03:20:47+00:00 | sec=47  | BUY    | Up         | price=0.3        | size=9.8        | usd=2.94      
2026-05-15T03:20:47+00:00 | sec=47  | BUY    | Up         | price=0.3        | size=25.89      | usd=7.767     
