WINDOW: btc-updown-5m-1778815800 | btc-updown-5m-1778815800
====================================================================================================
window_et: 11:30-11:35 PM ET
window_local: 06:30-06:35 Europe/Kyiv
window_start_iso: 2026-05-15T03:30:00+00:00
window_end_iso:   2026-05-15T03:35:00+00:00
first_ts: 2026-05-15T03:30:07+00:00
last_ts:  2026-05-15T03:32:20+00:00
first_sec_from_start: 7
last_sec_from_start:  140
events:   185
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   185
buy:      185
sell:     0
merge:    0
total_usd: 1174.609239
total_size: 2626.949542
spent_buy_usd: 1174.609239
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -1174.609239
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 1234.189095
buy_down_shares: 1392.760447
paired_shares: 1234.189095
unpaired_up_shares: 0.0
unpaired_down_shares: 158.571352
avg_up_buy_price: 0.083968
avg_down_buy_price: 0.76896
pair_cost_per_share: 0.852928

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 1052.674201
paired_redeem_value_usd: 1234.189095
theoretical_pair_pnl_usd: 181.514894
theoretical_pair_roi_pct: 17.2432
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.147072
merge_coverage_pct: 0.0
realization_gap_usd: 1356.124133
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 109
2026-05-15T03:30:07+00:00 | sec=7   | BUY    | Down       | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T03:30:07+00:00 | sec=7   | BUY    | Down       | price=0.57       | size=32.7       | usd=18.639    
2026-05-15T03:30:09+00:00 | sec=9   | BUY    | Down       | price=0.57       | size=4.97       | usd=2.8329    
2026-05-15T03:30:09+00:00 | sec=9   | BUY    | Down       | price=0.57       | size=10.0       | usd=5.7       
2026-05-15T03:30:13+00:00 | sec=13  | BUY    | Down       | price=0.65       | size=2.33       | usd=1.5145    
2026-05-15T03:30:13+00:00 | sec=13  | BUY    | Down       | price=0.65       | size=12.5       | usd=8.125     
2026-05-15T03:30:13+00:00 | sec=13  | BUY    | Down       | price=0.6500000460998172 | size=9.761427   | usd=6.344928  
2026-05-15T03:30:13+00:00 | sec=13  | BUY    | Down       | price=0.6500000218750017 | size=20.571427  | usd=13.371428 
2026-05-15T03:30:13+00:00 | sec=13  | BUY    | Down       | price=0.65       | size=50.0       | usd=32.5      
2026-05-15T03:30:13+00:00 | sec=13  | BUY    | Down       | price=0.65       | size=4.82       | usd=3.133     
2026-05-15T03:30:16+00:00 | sec=16  | BUY    | Down       | price=0.6500001693548934 | size=3.542856   | usd=2.302857  
2026-05-15T03:30:16+00:00 | sec=16  | BUY    | Down       | price=0.65       | size=19.0       | usd=12.35     
2026-05-15T03:30:18+00:00 | sec=18  | BUY    | Down       | price=0.65       | size=2.33       | usd=1.5145    
2026-05-15T03:30:20+00:00 | sec=20  | BUY    | Up         | price=0.3        | size=50.0       | usd=15.0      
2026-05-15T03:30:20+00:00 | sec=20  | BUY    | Down       | price=0.64       | size=50.0       | usd=32.0      
2026-05-15T03:30:20+00:00 | sec=20  | BUY    | Down       | price=0.65       | size=2.0        | usd=1.3       
2026-05-15T03:30:20+00:00 | sec=20  | BUY    | Down       | price=0.65       | size=23.12      | usd=15.028    
2026-05-15T03:30:23+00:00 | sec=23  | BUY    | Down       | price=0.76       | size=5.0        | usd=3.8       
2026-05-15T03:30:23+00:00 | sec=23  | BUY    | Down       | price=0.76       | size=12.0       | usd=9.12      
2026-05-15T03:30:23+00:00 | sec=23  | BUY    | Down       | price=0.76       | size=2.33       | usd=1.7708    
2026-05-15T03:30:23+00:00 | sec=23  | BUY    | Down       | price=0.7600000816000131 | size=8.333332   | usd=6.333333  
2026-05-15T03:30:23+00:00 | sec=23  | BUY    | Down       | price=0.76       | size=9.0        | usd=6.84      
2026-05-15T03:30:25+00:00 | sec=25  | BUY    | Down       | price=0.76       | size=8.33       | usd=6.3308    
2026-05-15T03:30:25+00:00 | sec=25  | BUY    | Down       | price=0.76       | size=5.0        | usd=3.8       
2026-05-15T03:30:28+00:00 | sec=28  | BUY    | Down       | price=0.7600001331361439 | size=4.506665   | usd=3.425066  
2026-05-15T03:30:28+00:00 | sec=28  | BUY    | Down       | price=0.76       | size=45.49      | usd=34.5724   
2026-05-15T03:30:28+00:00 | sec=28  | BUY    | Down       | price=0.7800000343750023 | size=20.363635  | usd=15.883636 
2026-05-15T03:30:30+00:00 | sec=30  | BUY    | Down       | price=0.780000026125001 | size=29.090908  | usd=22.690909 
2026-05-15T03:30:30+00:00 | sec=30  | BUY    | Down       | price=0.78       | size=0.53       | usd=0.4134    
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.7700032200193201 | size=0.21739    | usd=0.167391  
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.75       | size=21.78      | usd=16.335    
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.74       | size=0.24       | usd=0.1776    
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.74       | size=10.0       | usd=7.4       
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.75       | size=8.22       | usd=6.165     
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.75       | size=20.0       | usd=15.0      
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.76       | size=50.0       | usd=38.0      
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.73       | size=10.0       | usd=7.3       
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.77       | size=49.78      | usd=38.3306   
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.7400000597701241 | size=10.03846   | usd=7.428461  
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.72       | size=33.79      | usd=24.3288   
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.73       | size=24.51      | usd=17.8923   
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.73       | size=15.49      | usd=11.3077   
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.72       | size=16.21      | usd=11.6712   
2026-05-15T03:30:34+00:00 | sec=34  | BUY    | Down       | price=0.740000020867315 | size=29.711537  | usd=21.986538 
2026-05-15T03:30:35+00:00 | sec=35  | BUY    | Down       | price=0.7400000266211623 | size=22.53846   | usd=16.678461 
2026-05-15T03:30:37+00:00 | sec=37  | BUY    | Down       | price=0.74       | size=3.58       | usd=2.6492    
2026-05-15T03:30:39+00:00 | sec=39  | BUY    | Down       | price=0.74       | size=50.0       | usd=37.0      
2026-05-15T03:30:39+00:00 | sec=39  | BUY    | Down       | price=0.7900001120000336 | size=5.714284   | usd=4.514285  
2026-05-15T03:30:39+00:00 | sec=39  | BUY    | Down       | price=0.7900002041550874 | size=3.575713   | usd=2.824814  
2026-05-15T03:30:39+00:00 | sec=39  | BUY    | Down       | price=0.7900000511000046 | size=14.285713  | usd=11.285714 
2026-05-15T03:30:39+00:00 | sec=39  | BUY    | Down       | price=0.7900000511000046 | size=14.285713  | usd=11.285714 
2026-05-15T03:30:39+00:00 | sec=39  | BUY    | Down       | price=0.7900001412727606 | size=5.238094   | usd=4.138095  
2026-05-15T03:30:41+00:00 | sec=41  | BUY    | Down       | price=0.790000026040002 | size=23.809522  | usd=18.809523 
2026-05-15T03:30:41+00:00 | sec=41  | BUY    | Down       | price=0.790000132300049 | size=4.761903   | usd=3.761904  
2026-05-15T03:30:41+00:00 | sec=41  | BUY    | Down       | price=0.7900000650609758 | size=9.529522   | usd=7.528323  
2026-05-15T03:30:41+00:00 | sec=41  | BUY    | Down       | price=0.79       | size=2.11       | usd=1.6669    
