WINDOW: btc-updown-5m-1778817000 | btc-updown-5m-1778817000
====================================================================================================
window_et: 11:50-11:55 PM ET
window_local: 06:50-06:55 Europe/Kyiv
window_start_iso: 2026-05-15T03:50:00+00:00
window_end_iso:   2026-05-15T03:55:00+00:00
first_ts: 2026-05-15T03:50:08+00:00
last_ts:  2026-05-15T03:54:23+00:00
first_sec_from_start: 8
last_sec_from_start:  263
events:   741
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   741
buy:      741
sell:     0
merge:    0
total_usd: 5386.808444
total_size: 11849.656959
spent_buy_usd: 5386.808444
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -5386.808444
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 6184.564494
buy_down_shares: 5665.092465
paired_shares: 5665.092465
unpaired_up_shares: 519.472029
unpaired_down_shares: 0.0
avg_up_buy_price: 0.658943
avg_down_buy_price: 0.231512
pair_cost_per_share: 0.890454

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 5044.506213
paired_redeem_value_usd: 5665.092465
theoretical_pair_pnl_usd: 620.586252
theoretical_pair_roi_pct: 12.3022
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: 0.109546
merge_coverage_pct: 0.0
realization_gap_usd: 6007.394696
window_quality: MID

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 130
2026-05-15T03:50:08+00:00 | sec=8   | BUY    | Up         | price=0.43000017474472707 | size=2.403506   | usd=1.033508  
2026-05-15T03:50:08+00:00 | sec=8   | BUY    | Up         | price=0.4300001767002986 | size=1.754383   | usd=0.754385  
2026-05-15T03:50:08+00:00 | sec=8   | BUY    | Up         | price=0.43       | size=45.83      | usd=19.7069   
2026-05-15T03:50:10+00:00 | sec=10  | BUY    | Up         | price=0.4300001767002986 | size=1.754383   | usd=0.754385  
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.4300001767002986 | size=1.754383   | usd=0.754385  
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.44       | size=6.0        | usd=2.64      
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.43       | size=44.72      | usd=19.2296   
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.4300001767002986 | size=1.754383   | usd=0.754385  
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.4400001568001129 | size=1.785713   | usd=0.785714  
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.44       | size=5.0        | usd=2.2       
2026-05-15T03:50:11+00:00 | sec=11  | BUY    | Up         | price=0.44000000224224245 | size=17.839284  | usd=7.849285  
2026-05-15T03:50:13+00:00 | sec=13  | BUY    | Up         | price=0.4500000252679966 | size=11.872726  | usd=5.342727  
2026-05-15T03:50:13+00:00 | sec=13  | BUY    | Up         | price=0.45       | size=1.81818    | usd=0.818181  
2026-05-15T03:50:13+00:00 | sec=13  | BUY    | Up         | price=0.4500000252679966 | size=11.872726  | usd=5.342727  
2026-05-15T03:50:13+00:00 | sec=13  | BUY    | Up         | price=0.44       | size=19.37      | usd=8.5228    
2026-05-15T03:50:13+00:00 | sec=13  | BUY    | Up         | price=0.45       | size=1.81818    | usd=0.818181  
