WINDOW: btc-updown-5m-1778818500 | btc-updown-5m-1778818500
====================================================================================================
window_et: 12:15-12:20 AM ET
window_local: 07:15-07:20 Europe/Kyiv
window_start_iso: 2026-05-15T04:15:00+00:00
window_end_iso:   2026-05-15T04:20:00+00:00
first_ts: 2026-05-15T04:15:11+00:00
last_ts:  2026-05-15T04:20:30+00:00
first_sec_from_start: 11
last_sec_from_start:  330
events:   394
before_window_events: 0
after_window_events: 0
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   393
buy:      393
sell:     0
merge:    0
total_usd: 7313.803864
total_size: 10302.284092
spent_buy_usd: 3863.960809
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -3863.960809
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 3402.597982
buy_down_shares: 3449.843055
paired_shares: 3402.597982
unpaired_up_shares: 0.0
unpaired_down_shares: 47.245073
avg_up_buy_price: 0.518279
avg_down_buy_price: 0.608859
pair_cost_per_share: 1.127137

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 3835.19524
paired_redeem_value_usd: 3402.597982
theoretical_pair_pnl_usd: -432.597258
theoretical_pair_roi_pct: -11.2797
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.127137
merge_coverage_pct: 0.0
realization_gap_usd: 3431.363551
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
closed_count: 2
closed_win_count: 1
closed_loss_count: 1
closed_flat_count: 0
closed_total_bought_usd: 6852.441037
closed_total_pnl_usd: -413.808728
closed_total_settlement_usd: 6438.632309
closed_roi_pct: -6.0389
first_closed_ts: 2026-05-15T04:20:44+00:00
execution_delay_sec: 44

LATEST CLOSED (UP TO 20)
2026-05-15T04:20:44+00:00 | outcome=Up | size=0.0 | bought=3402.597982 | settlement=1639.293448 | pnl=-1763.304534
2026-05-15T04:20:44+00:00 | outcome=Down | size=0.0 | bought=3449.843055 | settlement=4799.338861 | pnl=1349.495806


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 65
2026-05-15T04:15:11+00:00 | sec=11  | BUY    | Up         | price=0.45       | size=17.14      | usd=7.713     
2026-05-15T04:15:11+00:00 | sec=11  | BUY    | Up         | price=0.45       | size=2.86       | usd=1.287     
2026-05-15T04:15:11+00:00 | sec=11  | BUY    | Up         | price=0.45       | size=30.0       | usd=13.5      
2026-05-15T04:15:18+00:00 | sec=18  | BUY    | Down       | price=0.5300001222000904 | size=2.127658   | usd=1.127659  
2026-05-15T04:15:18+00:00 | sec=18  | BUY    | Down       | price=0.5300000395970808 | size=5.808509   | usd=3.07851   
2026-05-15T04:15:20+00:00 | sec=20  | BUY    | Down       | price=0.5300000153469445 | size=5.212764   | usd=2.762765  
2026-05-15T04:15:23+00:00 | sec=23  | BUY    | Down       | price=0.5500001431819028 | size=2.444443   | usd=1.344444  
2026-05-15T04:15:23+00:00 | sec=23  | BUY    | Down       | price=0.5500000450000045 | size=11.11111   | usd=6.111111  
2026-05-15T04:15:23+00:00 | sec=23  | BUY    | Down       | price=0.5500000314282439 | size=9.545554   | usd=5.250055  
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.42       | size=50.0       | usd=21.0      
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.44       | size=50.0       | usd=22.0      
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.43       | size=50.0       | usd=21.5      
2026-05-15T04:15:29+00:00 | sec=29  | BUY    | Down       | price=0.3        | size=50.0       | usd=15.0      
2026-05-15T04:15:29+00:00 | sec=29  | BUY    | Down       | price=0.29       | size=50.0       | usd=14.5      
2026-05-15T04:15:29+00:00 | sec=29  | BUY    | Down       | price=0.31       | size=50.0       | usd=15.5      
2026-05-15T04:15:34+00:00 | sec=34  | BUY    | Down       | price=0.32       | size=10.0       | usd=3.2       
2026-05-15T04:15:34+00:00 | sec=34  | BUY    | Down       | price=0.32       | size=2.0        | usd=0.64      
2026-05-15T04:15:34+00:00 | sec=34  | BUY    | Down       | price=0.32       | size=0.16       | usd=0.0512    
2026-05-15T04:15:36+00:00 | sec=36  | BUY    | Down       | price=0.32       | size=5.0        | usd=1.6       
2026-05-15T04:15:36+00:00 | sec=36  | BUY    | Down       | price=0.3200000078840602 | size=5.073528   | usd=1.623529  
