WINDOW: btc-updown-5m-1778820000 | btc-updown-5m-1778820000
====================================================================================================
window_et: 12:40-12:45 AM ET
window_local: 07:40-07:45 Europe/Kyiv
window_start_iso: 2026-05-15T04:40:00+00:00
window_end_iso:   2026-05-15T04:45:00+00:00
first_ts: 2026-05-15T04:40:07+00:00
last_ts:  2026-05-15T04:44:46+00:00
first_sec_from_start: 7
last_sec_from_start:  286
events:   518
before_window_events: 0
after_window_events: 1
stats_grace_before_start_sec: 10
stats_grace_after_end_sec: 30
trades:   518
buy:      518
sell:     0
merge:    0
total_usd: 4674.594955
total_size: 8085.145876
spent_buy_usd: 4674.594955
returned_sell_usd: 0
returned_merge_usd: 0
estimated_result_usd: -4674.594955
first_merge_ts: N/A
total_merge_size: 0.0
stats_csv: stats.csv

PAIR STATS (BUY SIDE)
----------------------------------------------------------------------------------------------------
buy_up_shares: 5109.126149
buy_down_shares: 2976.019727
paired_shares: 2976.019727
unpaired_up_shares: 2133.106422
unpaired_down_shares: 0.0
avg_up_buy_price: 0.604666
avg_down_buy_price: 0.532685
pair_cost_per_share: 1.137351

PNL ESTIMATES
----------------------------------------------------------------------------------------------------
paired_buy_cost_usd: 3384.778587
paired_redeem_value_usd: 2976.019727
theoretical_pair_pnl_usd: -408.75886
theoretical_pair_roi_pct: -12.0764
merged_pairs_est_shares: 0.0
merged_pair_pnl_est_usd: 0.0
edge_per_pair_now: -0.137351
merge_coverage_pct: 0.0
realization_gap_usd: 4265.836095
window_quality: WEAK

CLOSED POSITIONS (THIS SLUG)
----------------------------------------------------------------------------------------------------
No closed positions for this slug yet


FIRST MINUTE TRADES (0-59s)
----------------------------------------------------------------------------------------------------
count: 69
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.43000000658008697 | size=24.315788  | usd=10.455789 
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.44       | size=8.89       | usd=3.9116    
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.44       | size=29.74      | usd=13.0856   
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.44       | size=25.0       | usd=11.0      
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.43       | size=7.5        | usd=3.225     
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.44       | size=9.9        | usd=4.356     
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.4400000746667065 | size=5.35714    | usd=2.357142  
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.44000016969717537 | size=2.35714    | usd=1.037142  
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.44       | size=5.0        | usd=2.2       
2026-05-15T04:40:07+00:00 | sec=7   | BUY    | Up         | price=0.43000002170478024 | size=9.21456    | usd=3.962261  
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.43       | size=10.17      | usd=4.3731    
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.44       | size=13.75      | usd=6.05      
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.42       | size=6.89655    | usd=2.896551  
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.4200000188550462 | size=10.60724   | usd=4.455041  
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.4200000188618033 | size=2.120688   | usd=0.890689  
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.43       | size=19.83      | usd=8.5269    
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.43       | size=8.96       | usd=3.8528    
2026-05-15T04:40:09+00:00 | sec=9   | BUY    | Up         | price=0.43       | size=20.0       | usd=8.6       
2026-05-15T04:40:11+00:00 | sec=11  | BUY    | Up         | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T04:40:11+00:00 | sec=11  | BUY    | Up         | price=0.42       | size=30.36      | usd=12.7512   
2026-05-15T04:40:14+00:00 | sec=14  | BUY    | Up         | price=0.42       | size=50.0       | usd=21.0      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=5.0        | usd=2.15      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=5.0        | usd=2.15      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=6.0        | usd=2.58      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=5.68       | usd=2.4424    
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=6.0        | usd=2.58      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=5.0        | usd=2.15      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=1.76       | usd=0.7568    
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=13.6       | usd=5.848     
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=5.0        | usd=2.15      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=2.68       | usd=1.1524    
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.43       | size=6.0        | usd=2.58      
2026-05-15T04:40:16+00:00 | sec=16  | BUY    | Up         | price=0.430000159813338 | size=1.87719    | usd=0.807192  
2026-05-15T04:40:18+00:00 | sec=18  | BUY    | Up         | price=0.43000009405007855 | size=3.508769   | usd=1.508771  
2026-05-15T04:40:18+00:00 | sec=18  | BUY    | Up         | price=0.43       | size=5.0        | usd=2.15      
2026-05-15T04:40:20+00:00 | sec=20  | BUY    | Up         | price=0.42       | size=40.24      | usd=16.9008   
2026-05-15T04:40:20+00:00 | sec=20  | BUY    | Up         | price=0.43       | size=27.89      | usd=11.9927   
2026-05-15T04:40:20+00:00 | sec=20  | BUY    | Up         | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T04:40:20+00:00 | sec=20  | BUY    | Up         | price=0.42       | size=9.76       | usd=4.0992    
2026-05-15T04:40:21+00:00 | sec=21  | BUY    | Up         | price=0.42       | size=11.34      | usd=4.7628    
2026-05-15T04:40:21+00:00 | sec=21  | BUY    | Up         | price=0.43       | size=50.0       | usd=21.5      
2026-05-15T04:40:21+00:00 | sec=21  | BUY    | Up         | price=0.4300002687145429 | size=1.228069   | usd=0.52807   
2026-05-15T04:40:23+00:00 | sec=23  | BUY    | Up         | price=0.4300000233933971 | size=17.526313  | usd=7.536315  
2026-05-15T04:40:42+00:00 | sec=42  | BUY    | Down       | price=0.29       | size=50.0       | usd=14.5      
2026-05-15T04:40:48+00:00 | sec=48  | BUY    | Up         | price=0.6300000458677724 | size=13.08108   | usd=8.241081  
2026-05-15T04:40:48+00:00 | sec=48  | BUY    | Up         | price=0.63       | size=3.0        | usd=1.89      
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.64       | size=7.22       | usd=4.6208    
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.65       | size=0.2        | usd=0.13      
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.63       | size=1.49       | usd=0.9387    
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.6400001296000829 | size=2.777776   | usd=1.777777  
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.6300001369000863 | size=2.702701   | usd=1.702702  
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.64       | size=20.0       | usd=12.8      
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.63       | size=4.65       | usd=2.9295    
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.6500000153125013 | size=22.857141  | usd=14.857142 
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.63       | size=4.0        | usd=2.52      
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.64       | size=10.0       | usd=6.4       
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.64       | size=10.0       | usd=6.4       
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.6300000522478463 | size=9.378377   | usd=5.908378  
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.6500001673913699 | size=3.285713   | usd=2.135714  
2026-05-15T04:40:49+00:00 | sec=49  | BUY    | Up         | price=0.63       | size=5.1        | usd=3.213     
2026-05-15T04:40:51+00:00 | sec=51  | BUY    | Up         | price=0.63       | size=6.58       | usd=4.1454    
2026-05-15T04:40:51+00:00 | sec=51  | BUY    | Up         | price=0.65       | size=23.65      | usd=15.3725   
2026-05-15T04:40:56+00:00 | sec=56  | BUY    | Up         | price=0.6300001665000639 | size=3.243242   | usd=2.043243  
2026-05-15T04:40:56+00:00 | sec=56  | BUY    | Up         | price=0.6300000745522516 | size=7.243242   | usd=4.563243  
2026-05-15T04:40:56+00:00 | sec=56  | BUY    | Up         | price=0.6300001369000863 | size=2.702701   | usd=1.702702  
2026-05-15T04:40:56+00:00 | sec=56  | BUY    | Up         | price=0.6300000882307821 | size=7.027026   | usd=4.427027  
2026-05-15T04:40:58+00:00 | sec=58  | BUY    | Up         | price=0.6600000313426888 | size=14.676469  | usd=9.68647   
2026-05-15T04:40:58+00:00 | sec=58  | BUY    | Up         | price=0.6500000525000096 | size=8.571427   | usd=5.571428  
2026-05-15T04:40:58+00:00 | sec=58  | BUY    | Up         | price=0.66       | size=5.51       | usd=3.6366    

LAST MINUTE TRADES (240-299s)
----------------------------------------------------------------------------------------------------
count: 56
2026-05-15T04:44:00+00:00 | sec=240 | BUY    | Up         | price=0.5500000450000045 | size=11.11111   | usd=6.111111  
2026-05-15T04:44:00+00:00 | sec=240 | BUY    | Up         | price=0.5500000758427265 | size=3.955554   | usd=2.175555  
2026-05-15T04:44:00+00:00 | sec=240 | BUY    | Up         | price=0.55       | size=10.0       | usd=5.5       
2026-05-15T04:44:00+00:00 | sec=240 | BUY    | Up         | price=0.55       | size=40.0       | usd=22.0      
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.5500002025001114 | size=2.222221   | usd=1.222222  
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.5400001137079009 | size=3.869564   | usd=2.089565  
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.55       | size=22.0       | usd=12.1      
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.54       | size=0.28       | usd=0.1512    
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.5400000736000128 | size=6.521738   | usd=3.521739  
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.55       | size=50.0       | usd=27.5      
2026-05-15T04:44:02+00:00 | sec=242 | BUY    | Up         | price=0.55       | size=10.69      | usd=5.8795    
2026-05-15T04:44:04+00:00 | sec=244 | BUY    | Down       | price=0.39000002975073184 | size=9.075407   | usd=3.539409  
2026-05-15T04:44:04+00:00 | sec=244 | BUY    | Down       | price=0.39       | size=29.7       | usd=11.583    
2026-05-15T04:44:04+00:00 | sec=244 | BUY    | Up         | price=0.54       | size=9.25       | usd=4.995     
2026-05-15T04:44:04+00:00 | sec=244 | BUY    | Down       | price=0.3900000330683092 | size=9.07213    | usd=3.538131  
2026-05-15T04:44:04+00:00 | sec=244 | BUY    | Down       | price=0.39000002815386653 | size=2.131146   | usd=0.831147  
2026-05-15T04:44:16+00:00 | sec=256 | BUY    | Down       | price=0.4        | size=50.0       | usd=20.0      
2026-05-15T04:44:16+00:00 | sec=256 | BUY    | Down       | price=0.42       | size=50.0       | usd=21.0      
2026-05-15T04:44:16+00:00 | sec=256 | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5      
2026-05-15T04:44:25+00:00 | sec=265 | BUY    | Down       | price=0.92       | size=50.0       | usd=46.0      
2026-05-15T04:44:26+00:00 | sec=266 | BUY    | Down       | price=0.92       | size=50.0       | usd=46.0      
2026-05-15T04:44:28+00:00 | sec=268 | BUY    | Down       | price=0.93       | size=50.0       | usd=46.5      
2026-05-15T04:44:28+00:00 | sec=268 | BUY    | Down       | price=0.94       | size=15.0       | usd=14.1      
2026-05-15T04:44:28+00:00 | sec=268 | BUY    | Down       | price=0.92       | size=12.49      | usd=11.4908   
2026-05-15T04:44:28+00:00 | sec=268 | BUY    | Down       | price=0.94       | size=50.0       | usd=47.0      
